"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","elmo",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15625,0.208333333333333,0,0,0,0,0,0,0,15.7954545454545,64.6875,0,0,0,NA,NA,NA,NA,NA,0,0,0.416666666666667,0,1,0,2.5,0,0,0,0.113636363636364,0,0,0,0,0.113636363636364,10.625,11.7708333333333,119.583333333333,20.5,1.36363636363636,3.90625,3.85416666666667,4.02777777777778,1.375,1.13636363636364,0.375,1.66666666666667,0,0,0,0,0,0,0,8.52272727272727,31,15.3125,9.72222222222222,5.375,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1.875,0.277777777777778,1.875,0,5.78125,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.977272727273,120,257.708333333333,92.0833333333333,109,56.25,78.875,55.4166666666667,13.0555555555556,12.625,259.090909090909,308.25,351.5625,254.861111111111,157.75,2.27272727272727,0,0.227272727272727,1.66666666666667,0.875,0,0,0,0,0,4.65909090909091,5.75,3.125,14.4444444444444,5.125,11,10,12,9,10,"11-aug-16",NA,"","elmo","cub =  sink","f","c","r","01-dec-11",NA,"16-jun-12","cm","28-oct-11","1","1",NA,"","k","starved?",NA,NA,"fig.tree","",""
"2","nght",0,0,0.416666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.35416666666667,0,0.909090909090909,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,0.208333333333333,0.3125,0,0,22.7777777777778,0.833333333333333,226.041666666667,39.4318181818182,0,1.52777777777778,3.125,4.27083333333333,7.04545454545455,0,0,0,0,3.86363636363636,0,0,0,0,NA,1.25,5.97222222222222,13.8541666666667,8.02083333333333,30.7954545454545,NA,NA,NA,NA,NA,0,0,0,0,NA,0,1.94444444444444,0.625,1.14583333333333,2.95454545454545,0,0,5.52083333333333,8.4375,16.4772727272727,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.25,113.888888888889,125,117.395833333333,414.090909090909,25.9375,14.0277777777778,37.1875,7.8125,67.0454545454545,148.75,167.083333333333,205.729166666667,378.125,617.613636363636,0.625,0.972222222222222,2.5,2.70833333333333,5.56818181818182,0,0,0,0,0,4.6875,4.86111111111111,15.1041666666667,1.97916666666667,29.4318181818182,4,9,12,12,11,"15-jun-15",NA,"","nightcrawler","scarface = cub name","u","c","r","22-nov-10",NA,"10-oct-11","pot","15-oct-10","1",NA,NA,"","k","",NA,NA,"fig.tree","",""
"3","aprl",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.520833333333333,0,0,0,0,1.25,0,0,0,1.25,169.0625,18.4375,0.125,0.520833333333333,0,6.66666666666667,2.5,13.375,3.4375,1.875,0,0.3125,2.625,0.3125,0,NA,NA,NA,NA,NA,9.375,16.25,13.5,7.91666666666667,6.36363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.40625,0.25,0.833333333333333,0,9.16666666666667,6.25,16.5,6.04166666666667,6.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,114.21875,134.75,150.833333333333,21.8181818181818,1.97916666666667,17.34375,46.25,26.0416666666667,2.27272727272727,268.645833333333,191.875,241.125,198.75,44.8863636363636,0.729166666666667,1.5625,1.875,1.77083333333333,4.125,0,0.78125,0,0,0.125,4.89583333333333,12.8125,10.875,1.04166666666667,0.795454545454545,12,8,10,12,11,"03-jun-15",NA,"","april","","u","c","r","06-may-07",NA,"18-jun-07","bel","30-apr-06","1",NA,NA,"","k","unknown",NA,NA,"fig.tree","tk","ein's littermate; often called bel cub in notes"
"4","bigb",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15625,0.208333333333333,0,0,0,0,0,0,0,15.7954545454545,64.6875,0,0,0,NA,NA,NA,NA,NA,0,0,0.416666666666667,0,1,0,2.5,0,0,0,0.113636363636364,0,0,0,0,0.113636363636364,10.625,11.7708333333333,119.583333333333,20.5,1.36363636363636,3.90625,3.85416666666667,4.02777777777778,1.375,1.13636363636364,0.375,1.66666666666667,0,0,0,0,0,0,0,8.52272727272727,31,15.3125,9.72222222222222,5.375,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1.875,0.277777777777778,1.875,0,5.78125,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.977272727273,120,257.708333333333,92.0833333333333,109,56.25,78.875,55.4166666666667,13.0555555555556,12.625,259.090909090909,308.25,351.5625,254.861111111111,157.75,2.27272727272727,0,0.227272727272727,1.66666666666667,0.875,0,0,0,0,0,4.65909090909091,5.75,3.125,14.4444444444444,5.125,11,10,12,9,10,"06-may-15",NA,"","big bird","cub = float","","c","r","01-dec-11",NA,"10-mar-12","cm","28-oct-11","1","2",NA,"","k","unk",NA,NA,"fig.tree","",""
"5","bono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.833333333333333,0,0.104166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.520833333333333,0,0,0,0,1.25,0,0,0.892857142857143,0,169.166666666667,13.4090909090909,0,0.416666666666667,45.8333333333333,9.47916666666667,1.25,11.3541666666667,1.51785714285714,1.5625,0.208333333333333,0,2.29166666666667,0,0,NA,NA,NA,NA,NA,9.79166666666667,9.65909090909091,15.7291666666667,6.41666666666667,2.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.04166666666667,0,0,12.2916666666667,3.40909090909091,15.5208333333333,5.5,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9583333333333,23.75,220.104166666667,24.75,22.2916666666667,12.3958333333333,3.18181818181818,57.6041666666667,2.75,5.10416666666667,322.708333333333,67.6136363636364,327.291666666667,46.3333333333333,90.625,1.04166666666667,1.70454545454545,2.29166666666667,3.39285714285714,2.60416666666667,0,0.454545454545455,0,0.0892857142857143,0.104166666666667,12.6041666666667,10.7954545454545,0.520833333333333,1,6.45833333333333,12,11,12,15,12,"06-may-15",NA,"","bono","harry hry","m","s","r","01-jun-07",NA,"07-dec-12","","01-mar-06",NA,NA,NA,"","u","",NA,NA,"fig.tree","",""
"6","c3po",0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.625,0,0,0.909090909090909,2.60416666666667,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.340909090909091,0.416666666666667,1,0,223.020833333333,42.7272727272727,0.104166666666667,2.75,0,4.58333333333333,5.68181818181818,7.29166666666667,0,0,0,3.29545454545455,4.0625,0,0,0,NA,NA,14.125,6.04166666666667,10.1041666666667,24.6590909090909,16.9791666666667,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.75,0,1.04166666666667,0.227272727272727,2.8125,5.625,0,8.33333333333333,12.0454545454545,14.7916666666667,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.25,97.2916666666667,116.25,333.75,327.604166666667,44.375,19.5833333333333,6.66666666666667,55.3409090909091,48.8541666666667,214.125,128.541666666667,374.895833333333,513.295454545455,434.0625,3,0.833333333333333,2.70833333333333,4.88636363636364,1.66666666666667,0,0,0,0,0,17.875,4.79166666666667,2.1875,29.4318181818182,6.875,10,6,12,11,12,"02-apr-15",NA,"","c3po","mustang = cub name","f","c","r","05-nov-10",NA,NA,"et","05-aug-10","1",NA,NA,"","a","",NA,NA,"fig.tree","","sometimes spelled c3p0"
"7","chrt",0.357142857142857,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.70833333333333,0.909090909090909,2.25,1.42857142857143,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.357142857142857,0,0,0,0,0,0.178571428571429,0,0.340909090909091,0.125,0.267857142857143,44.0178571428571,1.25,230.227272727273,0,10.0892857142857,5.26785714285714,1.45833333333333,2.84090909090909,9.25,4.91071428571429,0,0,2.5,2.875,2.14285714285714,0,0,NA,NA,NA,11.4285714285714,11.875,25.9090909090909,21.125,9.55357142857143,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1.25,0,0.454545454545455,3.125,0.178571428571429,9.64285714285714,1.45833333333333,9.09090909090909,18.125,7.23214285714286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.142857142857,137.708333333333,180,508.625,160.803571428571,6.51785714285714,68.9583333333333,46.5909090909091,55.625,24.5535714285714,200.535714285714,254.166666666667,534.545454545455,632.75,226.875,2.58928571428571,2.70833333333333,4.54545454545455,3.375,0,0,0,0,0,0.0892857142857143,2.14285714285714,26.0416666666667,31.1363636363636,8.25,5.26785714285714,14,6,11,10,14,"06-may-15",NA,"","candy heart","valentine = cub name","","c","r","26-jan-11",NA,"26-jan-11","","26-may-10",NA,NA,NA,"","k","unk",NA,NA,"fig.tree","","unknown cub, could be prfl's sib"
"8","chry",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,0,3.54166666666667,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,0.25,0,0,0,0,0,0,0.375,0.416666666666667,0,1,33.3653846153846,232.125,0.104166666666667,14.625,74.25,7.5,5,5.3125,2.5,0.125,4.13461538461539,0,2.70833333333333,0,0,NA,0,NA,NA,NA,33.9423076923077,8.75,12.8125,4.875,7.875,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2.5,1.375,0.208333333333333,0,0.375,15.4807692307692,9,10.625,5.125,4.375,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.038461538462,122.25,244.166666666667,87.375,66.375,66.5384615384615,9.25,37.8125,7.625,6.25,592.884615384615,392.75,325.729166666667,134.5,182.125,4.71153846153846,2.25,1.04166666666667,2.125,2.625,0,0,0.104166666666667,0,0,24.9038461538462,2.375,6.875,9.75,18.625,13,10,12,10,10,"06-may-15",NA,"","cherry garcia","","","c","r","19-jan-10",NA,"03-feb-10","flfy","01-jan-10","1",NA,NA,"","k","unknown",NA,NA,"fig.tree","",""
"9","cj",0,0,0,0,0,NA,0,NA,NA,NA,NA,2.5,NA,NA,NA,NA,0,NA,NA,NA,0.178571428571429,0,0,0.227272727272727,0,0,0,0,0,0,24.8214285714286,47.0454545454545,0,0,0,NA,0,NA,NA,NA,0,0,0,0.454545454545455,0,2.85714285714286,0,0,0,0,0.178571428571429,0,0,0,0,0,180.9375,0.104166666666667,36.3636363636364,170.416666666667,1.78571428571429,1.93181818181818,4.6875,3.52272727272727,0,0.416666666666667,1.25,2.70833333333333,0,0,0,0,0,0,0,13.8888888888889,19.2708333333333,12.3958333333333,10.5681818181818,11.4583333333333,NA,0,NA,NA,NA,0,0,0,0,0,0,0.227272727272727,1.35416666666667,0.568181818181818,0.625,0,4.20454545454545,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,110.277777777778,130,239.583333333333,166.477272727273,63.125,43.6111111111111,68.6458333333333,63.0681818181818,28.4090909090909,4.16666666666667,192.777777777778,457.916666666667,324.0625,262.954545454545,254.583333333333,0.694444444444444,1.35416666666667,1.81818181818182,1.47727272727273,1.04166666666667,0,0,0,0,0,0.694444444444444,7.29166666666667,3.75,14.8863636363636,3.75,9,12,12,11,6,"06-may-15",NA,"","casey jones","","","c","r","23-jan-12",NA,"13-mar-12","tcy","12-dec-11",NA,NA,NA,"","k","unk",NA,NA,"fig.tree","",""
"10","cm",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.07142857142857,2.70833333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.454545454545455,0,0,0,0,1.93181818181818,0.0892857142857143,0.625,0,261.346153846154,167.840909090909,0.267857142857143,0,13.4090909090909,4.13461538461539,0.681818181818182,7.05357142857143,3.75,1.25,0.961538461538462,0.113636363636364,2.05357142857143,0.416666666666667,0,NA,NA,NA,NA,NA,9.23076923076923,14.2045454545455,23.4821428571429,21.4583333333333,9.65909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0961538461538462,0,2.05357142857143,1.875,0,5.76923076923077,11.8181818181818,14.1964285714286,11.25,3.40909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.288461538462,20.5681818181818,278.035714285714,244.583333333333,23.75,12.7884615384615,20.7954545454545,43.8392857142857,39.1666666666667,3.18181818181818,444.230769230769,326.136363636364,376.25,328.125,67.6136363636364,1.53846153846154,8.75,3.92857142857143,2.08333333333333,1.70454545454545,0,0,0,0.208333333333333,0.454545454545455,43.0769230769231,78.9772727272727,0.178571428571429,0,10.7954545454545,13,11,14,6,11,"06-may-15",NA,"","chunky monkey","homely = cub name","f","c","r","04-may-07",NA,"27-may-12","flfy","10-mar-07",NA,NA,NA,"","k","unk",NA,NA,"fig.tree","",""
