"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","barr",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.0689655172414,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,13.018332605849,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.58227848101266,NA,NA,NA,NA,27.9353993889131,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,"02-oct-07",NA,NA,"barracuda","","m","s","r","14-oct-10","16-may-11","16-dec-11","koi","31-aug-10","1","2",NA,"","","",NA,NA,"happy.zebra","tr",""
"2","boom",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,0.632911392405063,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.0126582278481,0.28735632183908,NA,NA,12.0689655172414,4.26451331296377,0.574712643678161,NA,NA,0,0,0,NA,NA,0,0,759.471846355303,NA,NA,0,0,2.29885057471264,NA,NA,0.316455696202532,0,0,NA,NA,0,0,0,NA,NA,0,4.93670886075949,0.498326785974102,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.316455696202532,0.126582278481013,0.210970464135021,NA,NA,13.018332605849,9.47621126145788,11.1923468645424,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.32911392405063,9.51913283864397,NA,NA,1.58227848101266,4.79703186381493,21.2861923468645,NA,NA,27.9353993889131,41.9030990833697,946.209806489161,NA,NA,0.316455696202532,3.43954604975993,7.82045686017751,NA,NA,0,0,0,NA,NA,0,6.8878219118289,133.04961443329,NA,NA,4,10,12,"02-oct-07","1019",NA,"boomerang","","f","s","r","16-mar-10","26-nov-10","30-may-15","pike","16-feb-10","1","1",NA,"","","",NA,NA,"happy.zebra","tr","small l c/d notch"
"3","bw",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.7974683544304,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.31034482758621,1.39240506329114,1.79324894514768,1.4367816091954,0,0,0,2.58620689655172,0,0,0,0,0,0,0,529.663174741743,0,158.333333333333,101.72777535283,0.253164556962025,2.29885057471264,0,0.632911392405063,0.632911392405063,0,0,0,0,0.28735632183908,0,0,0,0,0,0,0.210970464135021,0,2.63713080168776,0.316455696202532,NA,NA,NA,NA,NA,0,0,0.379746835443038,0,0,0.379746835443038,0.316455696202532,1.13924050632911,0.421940928270042,0.105485232067511,0.632911392405063,11.1414229594064,19.9869052815364,6.70013094718464,2.70260439400553,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0126582278481,3.9393278044522,2.13880401571366,16.6666666666667,90.7864105921723,0.886075949367089,21.9482031136331,2.91139240506329,3.69198312236287,2.77899025170959,3.16455696202532,746.326203986614,72.3657791357486,219.994907609486,315.38993161647,0,4.21577186090499,3.27804452204278,1.26582278481013,0.527426160337553,0,0,0,0,0,0,168.281681943838,27.3417721518987,25.2655317910665,114.087734613706,10,12,10,12,12,"02-oct-07",NA,NA,"bewitched","","m","s","r","16-feb-09","23-oct-09","20-mar-10","spb","15-jan-09",NA,NA,NA,"","","",NA,NA,"happy.zebra","tr",""
"4","coel",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.0689655172414,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,13.018332605849,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.58227848101266,NA,NA,NA,NA,27.9353993889131,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,"02-oct-07",NA,NA,"coelacanth","","f","s","r","28-sep-10","16-may-11",NA,"koi","31-aug-10","1","1",NA,"","","",NA,NA,"happy.zebra","tr",""
"5","ctop",0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,NA,0.791139240506329,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.26582278481013,0.28735632183908,4.02298850574713,12.0689655172414,NA,5.33064164120471,0.574712643678161,0,0,NA,0,0,0,0,NA,0,759.471846355303,329.2194092827,0,NA,0,1.14942528735632,1.36039575149134,0.316455696202532,NA,0,0,0,0,NA,0,0,0,0,NA,6.17088607594937,0.498326785974102,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0.316455696202532,NA,0.158227848101266,0.210970464135021,0.421940928270042,13.018332605849,NA,10.421213443911,10.1302197002764,6.66739415102575,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.0126582278481,10.497599301615,0.392841553906591,1.58227848101266,NA,5.67983413356613,19.1983122362869,3.67015859159028,27.9353993889131,NA,41.0792230467045,934.490033464281,433.587952859014,0.316455696202532,NA,2.87538192928852,7.90775498326786,0.862068965517241,0,NA,0,0,0,0,NA,2.37341772151899,124.563509384548,86.9707551287647,4,NA,8,12,12,"02-oct-07",NA,NA,"carrot top","","m","c","r","22-dec-09",NA,"31-oct-11","ao","30-nov-09","1","2",NA,"","","",NA,NA,"happy.zebra","tr","small left a & b scoops"
"6","elec",NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.316455696202532,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,12.0689655172414,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0.316455696202532,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0.316455696202532,NA,0.925925925925926,NA,NA,13.018332605849,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,1.58227848101266,NA,0.925925925925926,NA,NA,27.9353993889131,NA,0,NA,NA,0.316455696202532,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,1,NA,NA,4,"14-sep-15",NA,NA,"electron","","f","s","r","03-oct-10","25-jul-11",NA,"ojy","05-sep-10","0",NA,NA,"","","",NA,NA,"happy.zebra","tr",""
"7","fras",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.0689655172414,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,13.018332605849,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.58227848101266,NA,NA,NA,NA,27.9353993889131,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,"02-oct-07",NA,NA,"frasier","","f","s","r","03-oct-10","13-jul-11","13-dec-11","spb","29-aug-10","1","1",NA,"","","",NA,NA,"happy.zebra","tr",""
"8","jean",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.0689655172414,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,13.018332605849,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.58227848101266,NA,NA,NA,NA,27.9353993889131,NA,NA,NA,NA,0.316455696202532,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,"02-oct-07",NA,NA,"i dream of jeannie","","m","s","r","03-oct-10","13-jul-11","24-dec-11","spb","29-aug-10","1","2",NA,"","","",NA,NA,"happy.zebra","tr",""
"9","nrna",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11.4978902953586,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.31034482758621,1.16033755274262,1.98915009041591,1.4367816091954,0,0.574712643678161,0,2.21674876847291,0,0,0,0,0,0,0.632911392405063,1071.47170085843,0,135.714285714286,101.72777535283,0.253164556962025,2.29885057471264,0,0.54249547920434,0.632911392405063,0,0,0,0,0.28735632183908,0,0,0,0,0,0,0.210970464135021,0,2.26039783001808,0.316455696202532,NA,NA,NA,NA,NA,0,0,0.316455696202532,0,0,0.506329113924051,0.210970464135021,0.949367088607595,0.361663652802893,0.105485232067511,0.759493670886076,12.9819583878947,16.6557544012804,7.95348257155328,2.70260439400553,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0126582278481,6.46006110868616,1.78233667976139,15.2709359605911,90.7864105921723,1.39240506329114,21.6317474174305,2.42616033755274,3.43580470162749,2.77899025170959,44.1772151898734,1297.98850574713,60.3048159464571,202.743655297125,315.38993161647,0,5.58707987778263,2.73170376836898,2.84342458065723,0.527426160337553,0,0,0,0,0,39.620253164557,172.250109122654,22.7848101265823,30.1552659474964,114.087734613706,10,12,12,14,12,"02-oct-07","1012",NA,"narnia","","m","c","r","02-apr-09","09-nov-09","28-mar-10","saw","01-feb-09",NA,NA,NA,"","","",NA,NA,"happy.zebra","tr",""
"10","phtn",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.452079566003617,0,11.4978902953586,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31034482758621,0.723327305605787,0,1.16033755274262,1.79324894514768,0.574712643678161,3.53869177526969,0,0,2.58620689655172,0,0,0,0,0,1071.47170085843,479.166926482509,0.632911392405063,0,158.333333333333,2.29885057471264,0,0.253164556962025,0,0.632911392405063,0,0,0,0,0,0,0,0,0,0,0.210970464135021,3.77252603354742,0,0,2.63713080168776,NA,NA,NA,NA,NA,0,0,0,0.316455696202532,0,0.210970464135021,0.0904159132007233,0.506329113924051,0.949367088607595,0.421940928270042,12.9819583878947,10.3510631664276,0.759493670886076,16.6557544012804,6.70013094718464,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46006110868616,9.39390160254412,1.0126582278481,1.78233667976139,16.6666666666667,21.6317474174305,4.03442040281848,1.39240506329114,2.42616033755274,3.69198312236287,1297.98850574713,555.499781754692,44.1772151898734,60.3048159464571,219.994907609486,5.58707987778263,5.54654860634782,0,2.73170376836898,1.26582278481013,0,0,0,0,0,172.250109122654,38.4298809004178,39.620253164557,22.7848101265823,25.2655317910665,12,14,10,12,12,"02-oct-07",NA,NA,"photon","","f","c","r","05-jun-09","04-jan-10","20-mar-10","ojy","29-apr-09",NA,NA,NA,"","","",NA,NA,"happy.zebra","tr",""
