"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","gnu.zebra.3-6","gnu.zebra.6-9","gnu.zebra.birth-3","gnu.zebra.gest","gnu.zebra.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thom.topi.3-6","thom.topi.6-9","thom.topi.birth-3","thom.topi.gest","thom.topi.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","thel",0,0,0,0,0.625,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0.25,0.3125,2.29166666666667,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,0,0.104166666666667,1.35416666666667,0.833333333333333,0,0,0,0.520833333333333,0,0,0,0,0,0,0,1.25,0,0.416666666666667,235.3125,0,26.3636363636364,2.08333333333333,1.875,260.625,0,0.5,0.3125,1.5625,0.3125,0,0,0,0,0,0,0,0,0,0,20,7.27272727272727,30.4166666666667,15.4166666666667,2.08333333333333,NA,0,NA,NA,NA,0,0,0,0,0,0,0.125,0.729166666666667,1.14583333333333,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,106.25,58.2954545454545,144.479166666667,120.104166666667,65,69.375,33.8636363636364,81.9791666666667,77.2916666666667,30.5208333333333,36.875,24.4318181818182,62.5,42.8125,34.4791666666667,127.5,96.3636363636364,181.25,147.1875,330.9375,0.625,3.52272727272727,2.8125,1.5625,1.45833333333333,0.625,0.125,0,1.35416666666667,0,0,25.1136363636364,2.08333333333333,1.45833333333333,25.3125,2,11,12,12,12,"15-jun-18",NA,"","thelonious","thls (accidental duplicate of serena hyena id)","","c","r","28-jan-12",NA,NA,"peeb","02-jan-12","1",NA,NA,"","a","",NA,NA,"mara.river","",""
"2","aco",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.3125,0,0,0,0,0,0,0,0,0.15625,0,0.104166666666667,0.0892857142857143,0,0,0,0.104166666666667,7.5,0.208333333333333,1.40625,0,21.5625,15.5357142857143,0.520833333333333,0.3125,0.15625,1.66666666666667,1.07142857142857,0,0,0,0,0,0,NA,NA,NA,NA,NA,39.0625,27.03125,0.208333333333333,23.4821428571429,35.5208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.104166666666667,6.09375,7.5,3.95833333333333,2.85714285714286,6.97916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.125,151.40625,23.8541666666667,65.2678571428571,160,58.59375,80.46875,13.0208333333333,48.125,121.041666666667,39.53125,70.9375,10.8333333333333,17.1428571428571,38.9583333333333,150.78125,193.4375,53.5416666666667,110,210,3.90625,4.84375,2.1875,1.69642857142857,5,0.46875,2.1875,0,0,1.45833333333333,1.40625,0,21.4583333333333,8.03571428571429,0.3125,8,8,12,14,12,NA,NA,"","acorn","","m","c","r","28-feb-08",NA,NA,"chip","27-sep-07","1","2",NA,"","a","",NA,NA,"mara.river","",""
"3","aero",0,0,0,0,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,0,1.77083333333333,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.520833333333333,0.104166666666667,0.104166666666667,0,0,0,0.104166666666667,0,0.208333333333333,0,0,0,630.833333333333,0,6.5,329.6875,0,637.8125,1.25,15.25,368.958333333333,0,0.104166666666667,0,0.375,0.208333333333333,0,0,0,0,0,NA,NA,NA,NA,NA,76.6666666666667,23.6458333333333,20.625,10.75,9.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04166666666667,0,1.25,0,0,14.2708333333333,6.66666666666667,7.5,8,11.4583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.1875,60.2083333333333,93.3333333333333,53.5,69.8958333333333,87.7083333333333,48.8541666666667,47.0833333333333,39.75,34.375,24.4791666666667,11.3541666666667,46.25,13.75,35.5208333333333,217.395833333333,735,130.208333333333,95.5,471.458333333333,7.1875,6.14583333333333,4.27083333333333,7.125,6.25,5.41666666666667,0.3125,0,0,1.35416666666667,0,6.97916666666667,1.25,8.75,39.2708333333333,12,12,12,10,12,"05-may-12",NA,"","aero","","","c","r",NA,NA,NA,"wnd","29-nov-09",NA,NA,NA,"","a","",NA,NA,"mara.river","",""
"4","ag",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42857142857143,0.277777777777778,0,0,0,0,0,0,0,0,0.178571428571429,0,0,0.15625,0,0,50.9722222222222,0.208333333333333,6.5625,0.208333333333333,1.60714285714286,60.2777777777778,27.2916666666667,18.4375,0.416666666666667,0.357142857142857,0.138888888888889,2.29166666666667,0.390625,1.25,0,0,0,0,0,NA,NA,NA,NA,NA,48.0357142857143,32.6388888888889,7.5,5.234375,34.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.104166666666667,7.85714285714286,4.58333333333333,6.875,2.5,3.85416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3214285714286,124.305555555556,83.3333333333333,44.140625,152.8125,56.4285714285714,75.1388888888889,42.5,26.484375,115.729166666667,40.8928571428571,49.1666666666667,40.8333333333333,17.65625,37.0833333333333,162.678571428571,226.388888888889,131.875,72.8125,195.3125,3.57142857142857,3.61111111111111,4.58333333333333,1.953125,2.08333333333333,2.32142857142857,0.555555555555556,0,0,0.416666666666667,1.60714285714286,9.30555555555556,27.0833333333333,11.875,0.208333333333333,7,9,6,16,12,"23-sep-09",NA,"","al gore","","f","c","r","28-feb-08",NA,NA,"oscr","23-oct-07","0",NA,NA,"","a","",NA,NA,"mara.river","",""
"5","alrw",0,0,0,0.625,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208333333333333,0,1.45833333333333,1.04166666666667,0.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.208333333333333,0,0,2.1875,0,0,0,0,0.520833333333333,0,0,0,0,0,0,0,1.09375,0,5.3125,276.5,4.16666666666667,2.34375,0,15.5208333333333,296.375,0,0.357142857142857,1.35416666666667,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,9.375,12.8125,38.8541666666667,3.4375,9,NA,NA,NA,NA,NA,0,0,0,0,0,0.833333333333333,0,1.45833333333333,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.166666666667,61.71875,149.6875,67.6041666666667,94.25,78.125,41.09375,88.6458333333333,48.9583333333333,49.875,66.0416666666667,20.625,61.0416666666667,18.6458333333333,44.375,161.25,81.09375,196.458333333333,93.8541666666667,401.625,2.29166666666667,3.75,2.29166666666667,2.08333333333333,1.5,0,0.178571428571429,1.35416666666667,0,0,4.16666666666667,1.25,0,10.2083333333333,19.875,6,8,12,12,10,"05-may-12",NA,"","alfred russell wallace","","","c","r","28-feb-12",NA,NA,"ag","17-nov-11",NA,NA,NA,"","a","",NA,NA,"mara.river","",""
"6","ars",0,3.125,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78125,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,392.5,72.3958333333333,NA,NA,215.875,402.34375,116.458333333333,NA,NA,255.625,0,0.520833333333333,NA,NA,0.125,0,0,NA,NA,0,NA,NA,NA,NA,NA,12.1875,3.54166666666667,NA,NA,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,8.28125,10.9375,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1875,79.7916666666667,NA,NA,65.375,25.46875,41.7708333333333,NA,NA,48.375,16.71875,38.0208333333333,NA,NA,17,473.28125,221.666666666667,NA,NA,334.25,5.46875,7.29166666666667,NA,NA,2.375,2.03125,0,NA,NA,0,9.84375,44.0625,NA,NA,39.75,8,12,NA,NA,10,"03-may-12",NA,"","arsenal","","m","c","r",NA,NA,NA,"koko","20-jan-09","1","2",NA,"","a","",NA,NA,"mara.river","",""
"7","astr",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535714285714286,0,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.104166666666667,0,0,0,0.0892857142857143,8.85416666666667,0,1.66666666666667,172.291666666667,0.357142857142857,15.7291666666667,0,16.4583333333333,181.354166666667,0,1.25,0,0.416666666666667,0.520833333333333,0,0,0,0,0,NA,NA,NA,NA,NA,35.1785714285714,28.5416666666667,24.375,1.875,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0892857142857143,0,1.5625,0,0.416666666666667,7.94642857142857,3.22916666666667,7.1875,1.875,2.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.928571428571,115.9375,119.6875,26.6666666666667,59.4791666666667,114.375,73.75,81.71875,17.7083333333333,45.625,24.5535714285714,42.1875,37.96875,8.95833333333333,13.8541666666667,190.357142857143,166.666666666667,158.4375,48.75,249.583333333333,6.16071428571429,1.66666666666667,2.34375,1.45833333333333,1.25,1.16071428571429,0.208333333333333,0.78125,0,0,0.267857142857143,6.875,0,14.7916666666667,9.0625,14,12,8,6,12,NA,NA,"","asteroids","","u","c","r","23-jan-07",NA,NA,"atar","01-dec-06","1","2",NA,"","a","",NA,NA,"mara.river","",""
"8","beny",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.357142857142857,1.25,0,NA,0,0,0,0,NA,0,0,0.15625,335.3125,NA,141.805555555556,0,0,412.8125,NA,160.833333333333,0,1.40625,0,NA,0.138888888888889,0.178571428571429,0.3125,0,NA,0,0,0,NA,NA,NA,NA,NA,0.625,NA,31.9444444444444,22.1428571428571,39.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0.9375,NA,3.61111111111111,7.14285714285714,6.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8125,NA,84.1666666666667,142.142857142857,98.125,49.6875,NA,69.4444444444444,63.0357142857143,58.59375,23.125,NA,14.7222222222222,79.1071428571429,39.53125,488.125,NA,284.166666666667,178.571428571429,150.78125,0.9375,NA,2.91666666666667,4.82142857142857,3.90625,0,NA,0.555555555555556,1.78571428571429,0.46875,77.5,NA,19.0277777777778,0,1.40625,4,NA,9,7,8,"23-sep-09",NA,"","benny goodman","dido?","","c","r","15-jan-09",NA,NA,"peeb","15-jun-08","1","2",NA,"","a","",NA,NA,"mara.river","",""
"9","bety",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.625,1.35416666666667,0,0.416666666666667,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0.208333333333333,0,0,0,0,0,0,0.208333333333333,0,0,0.104166666666667,0.104166666666667,0.104166666666667,0.3125,0,1.875,80.4166666666667,618.541666666667,1.25,0,23.8541666666667,85.2083333333333,621.875,1.35416666666667,0,0.833333333333333,1.14583333333333,0,0,0,0,0,0,0,0,0,0.3125,NA,8.64583333333333,13.28125,5.52083333333333,2.60416666666667,92.5,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0.104166666666667,0,1.04166666666667,0,0,3.95833333333333,7.08333333333333,12.8125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5833333333333,94.6875,59.0625,56.7708333333333,91.1458333333333,53.2291666666667,69.84375,39.4791666666667,44.1666666666667,75.7291666666667,16.3541666666667,24.84375,19.5833333333333,12.6041666666667,15.4166666666667,83.8541666666667,111.40625,98.5416666666667,158.75,831.145833333333,2.1875,2.65625,2.70833333333333,5.72916666666667,6.25,0.833333333333333,0.15625,0.833333333333333,0,4.79166666666667,0.9375,0,21.9791666666667,4.79166666666667,3.33333333333333,12,8,12,12,12,"05-may-12",NA,"","betty ford","","f","c","r",NA,NA,NA,"chip","08-oct-10","1",NA,NA,"","a","",NA,NA,"mara.river","","sex = f?"
"10","bj",0,0,0.535714285714286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.3125,0.178571428571429,0.625,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.104166666666667,1.875,0,0,0.625,0,0,0,0,0,0,0,0,0,0.5,0,201.696428571429,0,0.3125,1.875,2.08333333333333,223.660714285714,0,1.25,1.875,0.3125,0.267857142857143,0,1.35416666666667,0,0,0,0,0,0,0,0,0,0,17,30.4166666666667,2.85714285714286,13.28125,8.64583333333333,NA,NA,NA,NA,NA,0,0,0,0,0,1.375,0.729166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.125,144.479166666667,67.1428571428571,94.6875,69.5833333333333,78,81.9791666666667,36.6964285714286,69.84375,53.2291666666667,50.125,62.5,30.4464285714286,24.84375,16.3541666666667,156.75,181.25,297.857142857143,111.40625,83.8541666666667,1.75,2.8125,1.33928571428571,2.65625,2.1875,1.625,0,0,0.15625,0.833333333333333,1.375,2.08333333333333,21.9642857142857,0,0.9375,10,12,14,8,12,"05-may-12",NA,"","bombjack","polly= cub name","f","c","r","30-jan-12",NA,NA,"atar","10-jul-11","1","1",NA,"","a","",NA,NA,"mara.river","",""
