"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","mat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.875,0.138888888888889,50.2083333333333,0,0,NA,NA,NA,NA,NA,0,0.138888888888889,1.14583333333333,0.833333333333333,0,NA,NA,NA,NA,NA,1.45833333333333,2.36111111111111,7.39583333333333,10.8333333333333,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6875,4.72222222222222,4.89583333333333,7.8125,9.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9583333333333,89.0277777777778,82.9166666666667,178.020833333333,144.583333333333,10.4166666666667,13.1944444444444,3.125,17.0833333333333,17.8125,125.104166666667,109.583333333333,169.166666666667,214.791666666667,181.770833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7083333333333,0,19.4791666666667,0.208333333333333,8.95833333333333,12,9,12,12,12,"20-nov-17",NA,"","matisse","","u","c","r","24-jun-02","05-apr-03","22-jun-03","hg","10-jun-02","1",NA,NA,"","k","",NA,"23-dec-02","talek","tk"," dengrad calced by pat"
"2","thel",0,0,0,0,0,NA,2.75,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0,NA,NA,NA,13.3333333333333,0,0.277777777777778,0.147058823529412,0,0,0,0,0,0,24.375,30.4411764705882,9.65277777777778,0,0,NA,0,NA,NA,NA,0,0,0,0.294117647058824,0,2.70833333333333,0,0,0,0,0.104166666666667,0.220588235294118,0,0,0,0.0833333333333333,169.338235294118,0.0694444444444444,28.6764705882353,145.625,1.875,2.05882352941176,2.70833333333333,2.42647058823529,2.32142857142857,0.583333333333333,1.32352941176471,2.70833333333333,0.147058823529412,0,0,0,0,0,0,11.4166666666667,20.1470588235294,7.91666666666667,11.3970588235294,5.53571428571429,NA,0,NA,NA,NA,0,0,0,0,0,0,0.147058823529412,0.277777777777778,1.32352941176471,0.446428571428571,0,2.72058823529412,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0,NA,NA,NA,46.5,112.132352941176,158.958333333333,150,88.5714285714286,33.25,54.1911764705882,41.9117647058824,28.6764705882353,8.30357142857143,126.583333333333,416.323529411765,226.041666666667,234.044117647059,258.392857142857,0.416666666666667,2.05882352941176,1.17647058823529,0.625,0.892857142857143,0,0,0,0,0,0.416666666666667,20.5147058823529,2.77777777777778,10.3676470588235,6.69642857142857,15,17,18,17,14,"15-jun-18",NA,"","thelonious","thls (accidental duplicate of serena hyena id)","","c","r","28-jan-12",NA,NA,"peeb","02-jan-12","1",NA,NA,"","a","",NA,NA,"mara.river","",""
"3","puma",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73611111111111,0.588235294117647,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.75,0,0.227272727272727,0,0,0,0,0,0.277777777777778,0.220588235294118,0,0,1.02272727272727,0.0694444444444444,63.6764705882353,24.6666666666667,16.9642857142857,58.6363636363636,5.06944444444444,5.80882352941176,4.83333333333333,0.535714285714286,2.38636363636364,4.02777777777778,4.41176470588235,1.25,0.625,1.47727272727273,NA,NA,NA,NA,NA,11.3194444444444,20.2205882352941,8.83333333333333,6.16071428571429,8.40909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.875,0.514705882352941,0,0.446428571428571,0.340909090909091,10.0694444444444,10.2941176470588,7.16666666666667,2.76785714285714,6.59090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.402777777778,261.029411764706,130.416666666667,41.0714285714286,117.272727272727,32.6388888888889,42.8676470588235,14.9166666666667,5.89285714285714,11.0227272727273,291.180555555556,435.073529411765,206.666666666667,94.5535714285714,233.068181818182,1.11111111111111,3.16176470588235,0,1.78571428571429,2.61363636363636,0,0,0.0833333333333333,0,0,4.58333333333333,22.2794117647059,12.25,18.3035714285714,23.0681818181818,18,17,15,14,11,"27-jul-16",NA,"","puma","jay","m","c","r","28-jan-10","29-jul-10","06-aug-12","hex","10-nov-09","1",NA,NA,"","d","",NA,"05-nov-10","talek","tk","dispersed to southern comfort"
"4","elmo",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.921875,0.0961538461538462,0.416666666666667,0,0,0,0,0,0,0,10.859375,39.8076923076923,0,0,0,NA,NA,NA,NA,NA,0,0,0.277777777777778,0,0.625,0,2.5,0,0,0,0.078125,0,0,0,0,0.078125,6.640625,18.8194444444444,109.553571428571,40.859375,1.25,2.40384615384615,2.70833333333333,3.75,1.328125,2.03125,0.3125,1.11111111111111,0,0.46875,0,0,0,0,0,5.859375,19.375,10.2083333333333,6.42857142857143,3.4375,NA,NA,NA,NA,NA,0,0,0,0,0,0.3125,0,1.25,0.178571428571429,1.328125,0,3.55769230769231,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.921875,75,175.763888888889,81.7857142857143,104.0625,38.4166666666667,49.296875,36.9444444444444,15.8035714285714,13.125,196.40625,193.515625,249.722222222222,233.125,171.015625,1.5625,0,0.147058823529412,1.07142857142857,0.703125,0,0,0,0,0,3.515625,3.59375,2.08333333333333,14.5535714285714,5.078125,16,16,18,14,16,"11-aug-16",NA,"","elmo","cub =  sink","f","c","r","01-dec-11",NA,"16-jun-12","cm","28-oct-11","1","1",NA,"","k","starved?",NA,NA,"fig.tree","",""
"5","nght",0,0,0.277777777777778,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.902777777777778,0.486111111111111,0.588235294117647,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.714285714285714,0,0,0,0,0,0.277777777777778,0,0,0,0,0.138888888888889,0.208333333333333,0,0,46.6964285714286,3.75,388.888888888889,25.5882352941176,3.33333333333333,1.42857142857143,4.23611111111111,3.33333333333333,6.69117647058824,0,0.535714285714286,0.138888888888889,0,4.77941176470588,0,0,0,0,NA,0.833333333333333,3.92857142857143,9.58333333333333,5.41666666666667,24.1911764705882,NA,NA,NA,NA,NA,0,0,0,0,NA,0.208333333333333,1.33928571428571,0.416666666666667,0.972222222222222,2.27941176470588,0,0,5.48611111111111,6.875,13.1617647058824,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.708333333333,107.142857142857,92.2222222222222,79.4444444444444,312.941176470588,25.2083333333333,13.125,28.1944444444444,9.86111111111111,50.4411764705882,172.5,180.982142857143,160.902777777778,508.125,466.176470588235,0.416666666666667,0.803571428571429,1.66666666666667,1.875,3.60294117647059,0,0,0,0,0,4.79166666666667,5.26785714285714,13.6111111111111,10.7638888888889,21.9117647058824,6,14,18,18,17,"15-jun-15",NA,"","nightcrawler","scarface = cub name","u","c","r","22-nov-10",NA,"10-oct-11","pot","15-oct-10","1",NA,NA,"","k","",NA,NA,"fig.tree","",""
"6","yaz",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,0,0.208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192307692307692,0,0,0,NA,0,0,0.480769230769231,0.694444444444444,NA,0.865384615384615,0.25,0,0.625,NA,64.7115384615385,0,165.961538461538,153.680555555556,NA,2.11538461538462,1.25,4.03846153846154,2.70833333333333,NA,1.25,0.125,0,0.0694444444444444,NA,NA,NA,NA,NA,NA,7.11538461538461,2.75,2.11538461538462,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288461538461538,0,0.673076923076923,0.0694444444444444,NA,5.67307692307692,2.875,5.96153846153846,5.20833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.403846153846,51.125,68.75,80.9027777777778,NA,9.32692307692308,6,5.76923076923077,12.5,NA,226.730769230769,67.5,261.057692307692,312.777777777778,NA,2.21153846153846,0.875,0.769230769230769,0.902777777777778,NA,0,0,0,0,NA,30.5769230769231,1.5,6.53846153846154,52.0833333333333,NA,13,10,13,18,"22-aug-16",NA,"","yastrzemski","slingshot?","m","c","r","03-jun-09","24-jun-09","21-nov-11","aqua","01-dec-08","0",NA,NA,"","d","",NA,"20-dec-09","talek","tk","cubname should not be 'squirt'. any mention of 'squirt' should be envy instead"
"7","aber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4375,242.8125,0.208333333333333,0.138888888888889,22.0833333333333,NA,NA,NA,NA,NA,0.520833333333333,0,0,0.138888888888889,0,NA,NA,NA,NA,NA,1.25,0,3.54166666666667,2.63888888888889,2.70833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,3.75,1.66666666666667,5.41666666666667,5.20833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3958333333333,8.75,33.6458333333333,100.416666666667,59.8958333333333,2.29166666666667,8.4375,5.52083333333333,10.4166666666667,11.5625,58.4375,297.395833333333,47.1875,119.166666666667,114.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.125,33.6458333333333,2.60416666666667,0,12.7083333333333,12,12,12,9,12,"25-mar-08",NA,"","aberdeen","","u","c","r","13-apr-02",NA,"23-apr-03","eco","23-feb-03",NA,NA,NA,"","k","","23-feb-03",NA,"mara.river","",""
"8","aca",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982142857142857,0.367647058823529,0.882352941176471,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.178571428571429,0.220588235294118,0.294117647058824,0.588235294117647,0.592105263157895,0,0.661764705882353,0.441176470588235,1.25,0,0.0892857142857143,0.588235294117647,1.32352941176471,363.676470588235,0.131578947368421,2.58928571428571,3.23529411764706,3.75,0.882352941176471,5.26315789473684,3.83928571428571,2.72058823529412,0,0.294117647058824,1.18421052631579,NA,NA,NA,NA,NA,24.5535714285714,14.8529411764706,3.38235294117647,11.7647058823529,13.6184210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0735294117647059,1.25,5.625,5.88235294117647,10.8088235294118,6.47058823529412,8.68421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.410714285714,132.058823529412,38.8970588235294,29.7794117647059,156.776315789474,43.3035714285714,27.0588235294118,19.7794117647059,9.33823529411765,23.5526315789474,251.785714285714,213.308823529412,96.1764705882353,508.382352941176,219.078947368421,1.60714285714286,1.39705882352941,5.44117647058824,3.67647058823529,1.57894736842105,0.267857142857143,0,0,0,0,1.33928571428571,24.2647058823529,11.1764705882353,80.5882352941177,6.44736842105263,14,17,17,17,19,"01-feb-16",NA,"","acadia","","f","c","r","13-apr-08","20-jul-08","04-jun-09","sbl","24-oct-07",NA,NA,NA,"","k","",NA,"26-sep-08","talek","",""
"9","acia",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3392857142857,0.0833333333333333,0.277777777777778,0.192307692307692,0,0,0,0,0,0,12.4107142857143,34.5,0,0,0,NA,NA,NA,NA,NA,0,0,0,0.384615384615385,0,0,2.16666666666667,0,0,0,0.0892857142857143,0.25,0,0,0,0.0892857142857143,36.8055555555556,0.347222222222222,47.5961538461538,135.803571428571,1.33928571428571,2.16666666666667,2.70833333333333,3.65384615384615,1.33928571428571,2.05357142857143,1.11111111111111,1.31944444444444,0,0,0,0,0,0,0,6.07142857142857,17.2916666666667,10.3472222222222,3.07692307692308,5.17857142857143,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0833333333333333,1.52777777777778,0.192307692307692,1.51785714285714,0,3.08333333333333,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.464285714286,89.1666666666667,186.875,82.8846153846154,97.8571428571429,31.8269230769231,49.2361111111111,44.7916666666667,13.6538461538462,13.5714285714286,171.517857142857,241.319444444444,250.347222222222,170.096153846154,258.75,1.60714285714286,0.347222222222222,0.294117647058824,1.15384615384615,0.446428571428571,0,0,0,0,0,2.5,12.0833333333333,1.875,17.3076923076923,3.03571428571429,14,18,18,13,14,"17-dec-15",NA,"","acacia","","u","c","r","14-jan-12",NA,"27-jan-12","obam","19-nov-11",NA,NA,NA,"","k","",NA,NA,"talek","",""
"10","aco",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04166666666667,0.902777777777778,0.220588235294118,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.208333333333333,0.208333333333333,0.588235294117647,0.8125,0,0.625,0.625,1.10294117647059,0.125,0,0.104166666666667,0.277777777777778,160.220588235294,174.0625,0.1875,4.27083333333333,2.91666666666667,2.5,2.75,4.1875,0.520833333333333,4.23611111111111,0.0735294117647059,0.625,1.5,NA,NA,NA,NA,NA,14.0625,15.8333333333333,4.33823529411765,10.0625,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0625,1.4375,10.2083333333333,5.76388888888889,9.77941176470588,6.1875,7.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.375,154.166666666667,36.4705882352941,50.4375,157.625,28.6458333333333,34.3055555555556,20.3676470588235,8.1875,26.125,206.979166666667,243.125,294.926470588235,293.5625,216.5625,3.85416666666667,1.04166666666667,5.36764705882353,2.4375,2,0.208333333333333,0.0694444444444444,0,0,0,3.85416666666667,22.7777777777778,53.8970588235294,37.8125,0.125,12,18,17,20,20,NA,NA,"","acorn","","m","c","r","28-feb-08",NA,NA,"chip","27-sep-07","1","2",NA,"","a","",NA,NA,"mara.river","",""
