"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","gnu.zebra.3-6","gnu.zebra.6-9","gnu.zebra.birth-3","gnu.zebra.gest","gnu.zebra.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","prim.prey.3-6","prim.prey.6-9","prim.prey.birth-3","prim.prey.gest","prim.prey.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thom.topi.3-6","thom.topi.6-9","thom.topi.birth-3","thom.topi.gest","thom.topi.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","acro",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.29399585921325,2.32919254658385,4.91718426501035,17.0807453416149,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2.0703933747412,0,0,0.221827861579414,0.5175983436853,0,0.5175983436853,1.94099378881988,0,0,246.894409937888,175.983436853002,0,21.5173025732032,0,265.786749482402,273.550724637681,22.5155279503106,0,0.77639751552795,0,0.25879917184265,3.88198757763975,0,0,0,0.77639751552795,0,0,0,0,0,0,12.2005323868678,10.0931677018634,9.05797101449275,35.4554865424431,61.723602484472,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.77639751552795,0.25879917184265,0.77639751552795,3.1055900621118,8.87311446317657,7.2463768115942,8.54037267080745,12.9399585921325,31.832298136646,168.145519077196,168.99585921325,314.958592132505,400.621118012422,520.574534161491,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.427684117125,158.902691511387,40.1138716356108,91.6149068322981,436.335403726708,113.354037267081,118.012422360248,34.1614906832298,56.935817805383,311.723602484472,21.0736468500444,40.8902691511387,5.95238095238095,34.6790890269151,124.611801242236,185.891748003549,183.488612836439,332.03933747412,427.277432712215,584.239130434783,8.65128660159716,3.88198757763975,3.88198757763975,5.6935817805383,4.6583850931677,0,0,0,0.77639751552795,1.16459627329193,21.5173025732032,0,18.8923395445135,97.5672877846791,22.5155279503106,7,6,6,6,4,"25-jul-18","1051",NA,"acropolis","","f","s","r","16-oct-10",NA,"14-may-11","joni","09-sep-10","1","2",NA,"","","",NA,"11-mar-11","serena.n","tr",""
"2","angk",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.0703933747412,1.99645075421473,2.44010647737356,11.1801242236025,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1.77462289263531,0.665483584738243,0,0.77639751552795,0,0,0.443655723158829,1.5527950310559,0,0,211.623779946761,284.383318544809,33.2298136645963,25.1035196687371,1.0351966873706,227.817213842059,369.565217391304,50.3105590062112,0,0.77639751552795,0,0,3.1055900621118,0,0,0,0.221827861579414,0.62111801242236,0,0,0,0,0,15.0103519668737,16.304347826087,2.21827861579414,33.717834960071,52.1739130434783,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.29399585921325,0.221827861579414,0.665483584738243,2.48447204968944,11.3871635610766,8.54037267080745,7.54214729370009,8.65128660159716,25.7763975155279,184.006211180124,245.600414078675,295.031055900621,434.782608695652,409.316770186335,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.892339544513,228.260869565217,64.9955634427684,31.4995563442768,306.832298136646,123.706004140787,180.124223602484,51.0204081632653,21.7391304347826,205.900621118012,20.1863354037267,48.1366459627329,13.9751552795031,9.76042590949423,100.931677018634,206.780538302277,262.68115942029,310.115350488021,452.307009760426,461.490683229814,10.6107660455487,4.39958592132505,3.54924578527063,4.21472937000887,5.90062111801242,0,0,0,0.221827861579414,1.5527950310559,25.1035196687371,1.0351966873706,16.1934338952972,85.1818988464951,17.0807453416149,6,6,7,7,5,"25-jul-18",NA,NA,"angkor wat","","m","c","r","06-nov-10","09-oct-11","26-aug-11","lcs","09-oct-10","1","1",NA,"","","",NA,"06-aug-11","serena.n","tr",""
"3","bigi",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91718426501035,9.8343685300207,2.0703933747412,0,0.5175983436853,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77639751552795,0,0,0,0,2.0703933747412,2.0703933747412,0,0,1.29399585921325,0,0,0,0.665483584738243,0,155.27950310559,0,0,0,63.4057971014493,251.293995859213,44.2546583850932,1.0351966873706,21.5173025732032,75.8281573498965,0,0,0.77639751552795,0,0,0,0,0,0,0,0,0,0,0,0,4.91718426501035,10.0931677018634,16.304347826087,12.866015971606,1.81159420289855,NA,NA,NA,NA,NA,0,0,0,0,0,0.5175983436853,0.25879917184265,1.29399585921325,0,0.25879917184265,10.351966873706,18.8923395445135,8.54037267080745,10.4259094942325,6.2111801242236,353.51966873706,152.691511387164,245.600414078675,177.018633540373,149.844720496894,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3084886128364,98.343685300207,228.260869565217,142.635314995563,72.2049689440994,88.2505175983437,81.7805383022774,180.124223602484,123.114463176575,58.2298136645963,9.05797101449275,16.5631469979296,48.1366459627329,19.5208518189885,13.9751552795031,374.223602484472,190.47619047619,262.68115942029,197.870452528838,162.267080745342,2.0703933747412,6.7287784679089,4.39958592132505,9.76042590949423,4.1407867494824,0,0,0,0,0,96.0144927536232,44.2546583850932,1.0351966873706,21.5173025732032,12.4223602484472,6,6,6,7,6,"15-sep-15","1097",NA,"notorious b.i.g.","","m","c","r","08-may-11",NA,"29-oct-12","zoey","17-apr-11",NA,NA,NA,"","k","","29-oct-12",NA,"serena.n","tr","dls 10/27/2012, last seen nursing 8/29/2012 but never seen  not nursing before he died"
"4","cent",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81159420289855,0.25879917184265,3.6231884057971,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.3167701863354,0,0,0,0.25879917184265,2.32919254658385,0,0,0,0,0,0,1.0351966873706,0,0,14.7515527950311,0,115.683229813665,653.726708074534,23.5507246376812,25.1035196687371,1.5527950310559,137.163561076605,653.726708074534,0,0,0.5175983436853,0,0,0,0,0,2.32919254658385,0,0,0,0,0.25879917184265,0,15.0103519668737,19.9275362318841,18.1159420289855,4.39958592132505,26.3975155279503,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1.0351966873706,0,13.1987577639752,17.5983436853002,18.6335403726708,6.98757763975155,0,127.070393374741,126.035196687371,129.658385093168,217.391304347826,681.67701863354,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5093167701863,81.0041407867495,109.989648033126,75.8281573498965,1.5527950310559,61.3354037267081,54.3478260869565,87.991718426501,64.1821946169772,1.5527950310559,27.1739130434783,26.656314699793,21.9979296066253,11.6459627329193,0,153.467908902691,161.231884057971,166.925465838509,233.695652173913,681.67701863354,11.128364389234,5.6935817805383,14.4927536231884,4.6583850931677,0,0,0,0,0,0,23.5507246376812,10.351966873706,1.5527950310559,21.48033126294,0,6,6,6,6,1,"25-jul-18",NA,NA,"50 cent","","m","c","r","24-jan-09","09-sep-09","07-dec-09","zoey","13-nov-08","1","1",NA,"","","cause unknown",NA,"16-aug-09","serena.n","tr",""
"5","colo",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.29399585921325,2.32919254658385,4.91718426501035,17.0807453416149,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2.0703933747412,0,0,0.221827861579414,0.5175983436853,0,0.5175983436853,1.94099378881988,0,0,246.894409937888,175.983436853002,0,21.5173025732032,0,265.786749482402,273.550724637681,22.5155279503106,0,0.77639751552795,0,0.25879917184265,3.88198757763975,0,0,0,0.77639751552795,0,0,0,0,0,0,12.2005323868678,10.0931677018634,9.05797101449275,35.4554865424431,61.723602484472,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.77639751552795,0.25879917184265,0.77639751552795,3.1055900621118,8.87311446317657,7.2463768115942,8.54037267080745,12.9399585921325,31.832298136646,168.145519077196,168.99585921325,314.958592132505,400.621118012422,520.574534161491,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.427684117125,158.902691511387,40.1138716356108,91.6149068322981,436.335403726708,113.354037267081,118.012422360248,34.1614906832298,56.935817805383,311.723602484472,21.0736468500444,40.8902691511387,5.95238095238095,34.6790890269151,124.611801242236,185.891748003549,183.488612836439,332.03933747412,427.277432712215,584.239130434783,8.65128660159716,3.88198757763975,3.88198757763975,5.6935817805383,4.6583850931677,0,0,0,0.77639751552795,1.16459627329193,21.5173025732032,0,18.8923395445135,97.5672877846791,22.5155279503106,7,6,6,6,4,"25-jul-18","1035",NA,"coloseum","","m","s","r","07-oct-10",NA,"04-jun-11","joni","09-sep-10","1",NA,NA,"","","",NA,"11-mar-11","serena.n","tr",""
"6","doon",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77639751552795,2.0703933747412,0,2.44010647737356,5.90062111801242,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1.29399585921325,0.665483584738243,0,0.77639751552795,0,0,0,0.62111801242236,0,17.0807453416149,0,324.755989352263,52.7950310559006,25.1035196687371,29.5031055900621,4.39958592132505,387.311446317657,103.105590062112,0,0.77639751552795,0,0,0.31055900621118,0,0,0,0,0.93167701863354,0,0,0,0,0,12.1635610766046,15.2691511387164,7.7639751552795,7.98580301685892,62.4223602484472,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.29399585921325,0,0.443655723158829,0.93167701863354,10.0931677018634,6.7287784679089,8.02277432712215,7.98580301685892,14.2857142857143,175.983436853002,255.693581780538,128.88198757764,426.131322094055,385.093167701863,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.71635610766,210.92132505176,116.718426501035,30.8340727595386,219.565217391304,118.788819875776,167.184265010352,96.2732919254658,25.7320319432121,148.136645962733,19.9275362318841,43.7370600414079,20.4451345755694,5.10204081632653,71.4285714285714,196.169772256729,269.151138716356,144.927536231884,442.102928127773,414.596273291925,8.54037267080745,2.5879917184265,6.7287784679089,4.21472937000887,5.59006211180124,0,0,0,0.221827861579414,0.93167701863354,25.1035196687371,12.4223602484472,4.39958592132505,62.5554569653948,50.3105590062112,6,6,6,7,5,"18-oct-14",NA,NA,"doonesbury","","f","c","r","23-dec-10",NA,"11-mar-11","ink","11-nov-10","1","1",NA,"","","cause unknown",NA,NA,"serena.n","tr","dbw"
"7","drew",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.0703933747412,0.5175983436853,2.32919254658385,7.45341614906832,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1.29399585921325,0.77639751552795,0,0.665483584738243,0,0,0,0.62111801242236,0,0,63.4057971014493,331.262939958592,33.8509316770186,21.5173025732032,1.0351966873706,75.8281573498965,412.267080745342,64.9068322981366,0,0.77639751552795,0,0,0.93167701863354,0,0,0,0.25879917184265,0.62111801242236,0,0,0,0,0,12.866015971606,16.304347826087,1.81159420289855,33.9026915113872,33.8509316770186,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.29399585921325,0.25879917184265,0.5175983436853,0.62111801242236,10.4259094942325,8.54037267080745,6.2111801242236,8.02277432712215,16.1490683229814,177.018633540373,245.600414078675,149.844720496894,472.308488612836,342.546583850932,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.635314995563,228.260869565217,72.2049689440994,26.1387163561077,243.788819875776,123.114463176575,180.124223602484,58.2298136645963,18.1159420289855,164.596273291925,19.5208518189885,48.1366459627329,13.9751552795031,8.02277432712215,79.1925465838509,197.870452528838,262.68115942029,162.267080745342,488.612836438923,375.465838509317,9.76042590949423,4.39958592132505,4.1407867494824,4.1407867494824,5.59006211180124,0,0,0,0.25879917184265,0.93167701863354,21.5173025732032,1.0351966873706,12.4223602484472,81.0041407867495,31.055900621118,7,6,6,6,5,"25-jul-18","1045",NA,"nancydrew","","f","c","r","14-nov-10","28-sep-11","11-nov-11","peep","17-oct-10","1","1",NA,"","","",NA,NA,"serena.n","tr","dbw"
"8","edt",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81159420289855,0.77639751552795,1.81159420289855,1.81159420289855,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3167701863354,0,0,0,0,0.25879917184265,6.7287784679089,0,0,0,0,0,0,1.0351966873706,0,0,15.527950310559,0,102.484472049689,244.306418219462,33.9026915113872,15.527950310559,1.5527950310559,123.964803312629,244.306418219462,0,0,0.5175983436853,0,0,0,0,0,0,4.6583850931677,0,0,0,0.25879917184265,0,16.0455486542443,12.9399585921325,19.9275362318841,7.7639751552795,11.9047619047619,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.5175983436853,1.0351966873706,17.0807453416149,12.4223602484472,16.0455486542443,14.7515527950311,3.1055900621118,161.231884057971,73.7577639751553,106.625258799172,237.836438923395,288.302277432712,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.28364389234,45.2898550724638,85.1449275362319,106.107660455487,32.0910973084886,75.0517598343685,32.0910973084886,69.3581780538302,84.8861283643892,25.879917184265,36.231884057971,13.1987577639752,15.7867494824017,21.2215320910973,6.2111801242236,195.393374741201,98.6024844720497,138.71635610766,267.339544513457,299.171842650103,5.6935817805383,4.91718426501035,13.7163561076605,11.128364389234,2.0703933747412,0,0,0,0,0,33.9026915113872,0,1.5527950310559,21.48033126294,0,6,6,6,6,3,"25-jul-18",NA,NA,"edward teach","","m","c","r","27-dec-08",NA,"11-jun-09","moss","10-dec-08","1","1",NA,"","","vanished - starvation?",NA,NA,"serena.n","tr","dbw, small scar above r eye"
"9","gloc",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.17391304347826,2.32919254658385,1.0351966873706,11.1801242236025,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2.0703933747412,0,0,0.665483584738243,0,0,0.5175983436853,1.5527950310559,0,0,246.894409937888,148.291925465838,33.2298136645963,21.5173025732032,0,265.786749482402,241.20082815735,50.3105590062112,0,0.93167701863354,0,0,3.1055900621118,0,0,0,0.25879917184265,0.62111801242236,0,0,0,0,0,13.5314995563443,14.2857142857143,1.81159420289855,38.5610766045549,52.1739130434783,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.5527950310559,0.25879917184265,0.77639751552795,2.48447204968944,9.76042590949423,8.69565217391304,8.7991718426501,7.50517598343685,25.7763975155279,177.462289263531,214.285714285714,321.169772256729,312.888198757764,409.316770186335,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.413487133984,200,53.5714285714286,33.1262939958592,306.832298136646,123.779946761313,151.242236024845,38.8198757763975,24.0683229813665,205.900621118012,18.6335403726708,48.7577639751553,14.7515527950311,9.05797101449275,100.931677018634,196.98314108252,231.67701863354,338.768115942029,328.15734989648,461.490683229814,9.09494232475599,4.03726708074534,4.1407867494824,4.91718426501035,5.90062111801242,0,0,0,0.25879917184265,1.5527950310559,21.5173025732032,0,18.8923395445135,92.9089026915114,17.0807453416149,7,5,6,6,5,"25-jul-18","1047",NA,"glock","","f","s","r","16-nov-10","05-oct-11","07-aug-11","angi","05-oct-10",NA,NA,NA,"","","",NA,"14-jul-11","serena.n","tr",""
"10","grz",0,0,2.79503105590062,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4968944099379,4.91718426501035,7.14285714285714,5.43478260869565,0.25879917184265,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.0351966873706,4.1407867494824,0,0,0,4.6583850931677,2.32919254658385,1.5527950310559,0.5175983436853,0.31055900621118,0,0,0,175.983436853002,0,88.5093167701863,15.527950310559,18.944099378882,273.550724637681,12.7329192546584,101.449275362319,25.879917184265,3.1055900621118,0.25879917184265,2.79503105590062,0,0,0,0.77639751552795,0,0,0,0,0,0,0,0,51.8633540372671,35.4554865424431,17.7018633540373,17.8571428571429,16.304347826087,NA,NA,NA,NA,NA,0,0,0,0,0,4.34782608695652,0.77639751552795,1.24223602484472,0,0,36.0248447204969,12.9399585921325,18.944099378882,12.9399585921325,11.128364389234,514.596273291925,400.621118012422,274.844720496894,166.407867494824,100.414078674948,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.788819875776,91.6149068322981,244.409937888199,47.1014492753623,58.2298136645963,335.093167701863,56.935817805383,180.745341614907,41.1490683229814,43.7370600414079,108.695652173913,34.6790890269151,63.6645962732919,5.95238095238095,14.4927536231884,586.645962732919,427.277432712215,312.732919254658,192.287784679089,122.670807453416,5.59006211180124,5.6935817805383,4.03726708074534,1.81159420289855,4.39958592132505,0.93167701863354,0.77639751552795,0.62111801242236,0,0,18.944099378882,97.5672877846791,12.7329192546584,12.9399585921325,10.351966873706,5,6,5,6,6,"16-sep-15","1030",NA,"grizzly","kodi?","m","s","r","27-jun-10","01-dec-10","28-dec-10","sau","01-dec-09","1","2",NA,"","","puncture wounds around the neck; presumably lions",NA,"01-sep-10","serena.n","tr","grz=kodi?"
