"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","gnu.zebra.3-6","gnu.zebra.6-9","gnu.zebra.birth-3","gnu.zebra.gest","gnu.zebra.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","prim.prey.3-6","prim.prey.6-9","prim.prey.birth-3","prim.prey.gest","prim.prey.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thom.topi.3-6","thom.topi.6-9","thom.topi.birth-3","thom.topi.gest","thom.topi.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","brph",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293255131964809,15.6310663223106,0.566893424036281,0,0.183284457478006,0.146627565982405,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70068027210884,0,0.283446712018141,0,0,5.10204081632653,0,0.283446712018141,0,0,0.586510263929619,1.0465724751439,0,0,0,681.796237556606,0,224.023480359886,0,0,709.941747960181,1.83150183150183,242.599630272441,0,8.24780058651026,0.293255131964809,1.30821559392988,0,0,0,2.19941348973607,1.2767570371257,2.83446712018141,0,0,0,0,0,0,0,5.78231292517007,7.5876504447933,1.13378684807256,2.72108843537415,1.27551020408163,NA,NA,NA,NA,NA,0,0.112790435371081,0.488758553274682,0,0,0.340136054421769,0.789533047597564,0.283446712018141,0,0,18.0511500787999,22.8941565347095,8.43025382195889,2.67420751291719,4.14946037065853,799.72469926387,88.1062102260259,255.907494962795,13.6233965727053,24.9628443752868,0,0,0,0.340136054421769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0006383785186,78.6870579497308,12.1740778422806,10.9023081373312,15.4395335846949,67.9833223612025,59.1313448456306,6.60738391153138,5.54192351427375,6.8251640832286,16.017316017316,19.5557131041002,5.56669393074923,5.36038462305743,8.61436950146627,838.026412911206,135.171280332571,275.602469726894,18.9718115985397,33.2617651166038,9.14876214415385,4.00597866035654,6.40207207027484,2.33407145849542,3.96617591318052,0.439882697947214,0,0.122189638318671,0,0,28.1455104035749,1.83150183150183,18.5761499125554,0,8.24780058651026,10,13,12,10,8,"25-apr-17","1062",NA,"brophy","","f","a","r","02-sep-09",NA,"17-sep-16","","11-jul-09",NA,NA,NA,"","","",NA,NA,"serena.s","tr","r & l nipple ears"
"2","cont",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266595574513463,18.4730783809125,0.566893424036281,0,0.122189638318671,0.133297787256732,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.70068027210884,0,0,0,0,4.53514739229025,0,0,1.77004952874245,1.23685837971552,0,0,0,0,0,784.943742893052,8.69192251680731,0,14.1340993875556,0.309214594928881,799.74281990411,27.8632274023979,5.49853372434018,0.885024764371224,1.23685837971552,0,0,0,2.30868140377985,1.19968008531058,0,3.40136054421769,0,0,0,0,0,0,8.65800865800866,6.80272108843537,1.70068027210884,2.38095238095238,1.4172335600907,NA,NA,NA,NA,NA,0,0.133297787256732,0.488758553274682,0,0,0,0.933084510797121,0.566893424036281,0,0,13.717883847754,25.7291933035544,11.5872350895392,5.39529594829134,4.4279197505004,137.375611401585,79.0310792405472,817.93827012721,43.7618449139186,21.920156136746,0,0,0,0,0.283446712018141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.583503356021,71.9191435571829,16.4947699509911,13.5176651305684,15.0043888523151,90.6343342455617,59.0599876314162,8.84586483664825,6.90246773196082,7.06206236160153,23.9491691104594,12.8591559257667,7.6489051143429,6.61519739860754,7.94232649071359,167.120060500873,131.689145932967,841.112740306289,57.953797354719,30.7759956377468,10.2630228310999,3.71601586515705,3.60667238547423,5.39529594829134,4.02228340016358,0.399893361770195,0,0.122189638318671,0,0,14.1340993875556,0.309214594928881,14.7990770110586,19.1713048855906,5.49853372434018,11,11,12,10,12,"25-jul-18","1081",NA,"count","","m","s","r","31-aug-09","04-sep-10","03-jan-13","bart","09-aug-09","0",NA,NA,"","","",NA,"28-feb-10","serena.s","tr",""
"3","czar",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46627565982405,1.59957344708078,1.71065493646139,0.733137829912023,0.146627565982405,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.104733975701718,0,0,0,1.22189638318671,1.88521156263092,0,0,0,0,0,0,0,0.133297787256732,37.6186153835923,143.279641140076,601.466275659824,6.48020694103644,12.501881584412,53.5755846815755,222.565398174351,643.401759530792,0,0,0,0,1.02040816326531,0,0,1.09970674486804,0,3.06122448979592,0,0,0,0,0,6.23582766439909,0.927643784786642,2.83446712018141,4.74224042360975,3.74149659863946,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.533191149026926,0.366568914956012,0,0,12.9313211110446,4.43600527387708,6.99390215519248,10.4641353818444,3.54798811020009,42.2826021904363,76.2907669066027,97.1582181259601,240.055259640513,708.356773794562,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5665675850008,62.8612415374041,40.7481663242032,12.7476210425519,61.2135176651306,9.59812077323598,33.0433426369748,10.3703260385288,4.45297515738595,33.4799608993157,19.9684468117648,29.8178989004293,30.3778402856744,8.29464588516596,27.7335567658148,68.1452444125255,85.1627774543568,112.245729181213,260.983530404202,718.513974504758,11.4650454512206,2.30324067776938,3.5725922822697,7.63631803789803,2.38095238095238,0,0,0.122189638318671,0.104733975701718,0,6.48020694103644,12.3685837971552,15.9569692979831,79.2857570342758,41.9354838709677,12,11,12,14,10,"25-jul-18","1079",NA,"czar","","m","c","r","21-dec-10","07-oct-11","27-feb-13","bart","09-nov-10","1","1",NA,"","","",NA,"26-nov-11","serena.s","tr",""
"4","jd",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266595574513463,18.4730783809125,0.566893424036281,0,0.122189638318671,0.133297787256732,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.70068027210884,0,0,0,0,4.53514739229025,0,0,1.77004952874245,1.23685837971552,0,0,0,0,0,784.943742893052,8.69192251680731,0,14.1340993875556,0.309214594928881,799.74281990411,27.8632274023979,5.49853372434018,0.885024764371224,1.23685837971552,0,0,0,2.30868140377985,1.19968008531058,0,3.40136054421769,0,0,0,0,0,0,8.65800865800866,6.80272108843537,1.70068027210884,2.38095238095238,1.4172335600907,NA,NA,NA,NA,NA,0,0.133297787256732,0.488758553274682,0,0,0,0.933084510797121,0.566893424036281,0,0,13.717883847754,25.7291933035544,11.5872350895392,5.39529594829134,4.4279197505004,137.375611401585,79.0310792405472,817.93827012721,43.7618449139186,21.920156136746,0,0,0,0,0.283446712018141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.583503356021,71.9191435571829,16.4947699509911,13.5176651305684,15.0043888523151,90.6343342455617,59.0599876314162,8.84586483664825,6.90246773196082,7.06206236160153,23.9491691104594,12.8591559257667,7.6489051143429,6.61519739860754,7.94232649071359,167.120060500873,131.689145932967,841.112740306289,57.953797354719,30.7759956377468,10.2630228310999,3.71601586515705,3.60667238547423,5.39529594829134,4.02228340016358,0.399893361770195,0,0.122189638318671,0,0,14.1340993875556,0.309214594928881,14.7990770110586,19.1713048855906,5.49853372434018,11,11,12,10,12,"25-jul-13","1093",NA,"jack daniels","","m","s","r","30-aug-09","26-jul-10","25-aug-13","bor","09-aug-09","1","1",NA,"","","",NA,"07-jul-10","serena.s","tr",""
"5","jigs",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93255131964809,1.35348522445297,0.610948191593353,0.488758553274682,0.146627565982405,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.122189638318671,0,0,1.22189638318671,0,0,2.19941348973607,0,0,0,0,0,0,0,0.112790435371081,115.937186213684,590.062906883183,0,6.48020694103644,8.22372711773633,173.801045344824,675.602303482488,0,0,0,0,0,1.36054421768707,1.09970674486804,0,0,2.55102040816327,0,0,0,0,0,0,8.21995464852608,0.784929356357928,0.850340136054422,5.5326138275447,4.76190476190476,NA,NA,NA,NA,NA,0,0,0,0,0,0.366568914956012,0.451161741484322,0,0,0,15.502290847913,6.29784961582197,5.11201548067908,8.76274263371038,4.90853232788717,73.662065021512,60.0336683285992,186.615164149726,702.702635306322,78.3898896802123,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9619034319495,51.0250118545049,11.9637786688478,21.5677179962894,73.6279849183075,13.1216709557723,25.3433202741959,6.96896549431112,6.49018160538898,50.4867636204042,45.8402324761772,25.6816915803091,4.99481317453668,15.0775363909004,23.1412212979033,105.766353462206,72.6293675602431,196.839195111085,722.779140981906,88.2069543359866,10.8590845918035,4.49320264988468,4.37887765076705,5.95238095238095,3.40136054421769,0.122189638318671,0,0,0.122189638318671,0,6.48020694103644,8.11093668236525,57.8638591311402,85.5393965993044,0,12,13,12,12,10,"18-sep-15","1060",NA,"jigsaw","","m","c","r","18-nov-10","27-aug-11","09-jun-14","slin","21-oct-10",NA,NA,NA,"","","",NA,"24-jul-11","serena.s","tr",""
"6","jlp",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183284457478006,0.451161741484322,15.6310663223106,0.244379276637341,0.680272108843538,0,0,0,0.122189638318671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.112790435371081,0,1.4172335600907,0.340136054421769,0,2.03022783667945,0,4.25170068027211,0.340136054421769,0,0,1.0465724751439,0.488758553274682,0,0,544.673452507554,0,568.163531297172,268.828176431863,0,627.693351195655,0.261643118785976,593.31880357226,276.493705986794,1.27551020408163,0,1.56985871271586,0.244379276637341,0,0,2.35478806907378,1.01511391833972,2.1162912867982,0,0,0,0,0,0,4.67687074829932,5.1070281485028,6.5410779696494,6.80272108843537,1.02040816326531,NA,NA,NA,NA,NA,0,0,0.112790435371081,0,0.586510263929619,0,0,0.789533047597564,0.283446712018141,0.340136054421769,4.43498513775011,8.20147594341143,22.4069325451814,16.7042379023946,7.05508009655475,68.6506274063878,653.272994286819,92.8518486122173,680.853964264103,285.32028647236,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9737566580885,20.472614942661,86.0491275237819,80.7324396034073,7.80617232230135,38.8737606479542,6.10372730188398,67.5039246467818,63.738936434789,3.84722804077643,25.0999960101343,14.368887640777,18.5452028770001,16.9935031686184,3.95894428152493,77.520597681888,672.030734242716,138.68082762092,716.37873135569,299.43044666547,2.97619047619048,5.49450549450549,3.25711155204243,9.28558129018958,4.62126199453388,0,0.112790435371081,0,0.366568914956012,0.146627565982405,0,83.0198986881014,0.261643118785976,25.1552722750879,7.66552955493048,8,13,13,12,10,"18-sep-15","1078",NA,"jean-luc picard","","f","s","r","27-feb-10","30-nov-10",NA,"mtn","27-jan-10","0",NA,NA,"","","",NA,"22-nov-10","serena.s","tr",""
"7","lux",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4066960828586,0.451161741484322,1.46627565982405,0.695376600577391,0,0,0,0,0.104733975701718,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.45772594752187,0,0,2.03022783667945,0,3.88726919339164,0,0,0,1.51171579743008,0.41893590280687,0,0,517.200925035026,0,577.208889420871,205.663000593876,0,584.295888443354,2.64550264550265,597.555779748012,222.548572778988,1.23685837971552,0,1.8896447467876,0.209467951403435,0,0,2.35478806907378,1.84420460918157,1.57100963552576,2.61643118785976,0,0,0,0,0,4.32900432900433,5.1070281485028,9.82615268329554,4.3731778425656,1.83150183150183,NA,NA,NA,NA,NA,0,0,0.162919517758227,0,0.451161741484322,0.666488936283658,0,0.325839035516455,0.242954324586978,0.261643118785976,21.47454556336,8.76082442902719,11.1428083778314,14.1084502506491,6.4735571648014,68.8269976078941,613.655929324132,118.513420356738,663.24891917387,236.925900520371,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4979932788898,24.2530127322754,106.04176502794,61.3199615832927,12.5458259098812,47.0006184291899,7.93522913338582,80.8767951625095,49.8790215709241,7.40733920457423,17.4973748496999,16.3177835988896,25.1649698654307,11.4409400123686,5.13848670530698,111.776088734614,633.53236625126,142.643241721583,693.036829310694,252.489446037833,2.16450216450216,6.27943485086342,5.786413620515,6.77778442755401,5.64796186916003,0,0,0,0.314201927105153,0.112790435371081,0,67.0949634083275,2.64550264550265,20.3468903271405,16.8855721851114,11,13,9,14,13,"18-sep-15","1023",NA,"luxor","","m","s","r","08-jan-10","29-oct-10","25-may-11","taj","24-dec-09","1","2",NA,"","","",NA,"26-jul-10","serena.s","tr",""
"8","pala",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06638229805385,1.24069478908189,2.0772238514174,1.09970674486804,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.122189638318671,0,0,0,1.22189638318671,1.71065493646139,0.488758553274682,0,0,0,0,0,0,2.6210348790994,0,145.699090975589,560.301002121279,0,44.7333004936692,14.3094872357545,208.586856052294,632.9872124803,0,0,0,0,0,0,0.225580870742161,1.09970674486804,0,2.55102040816327,0,0,0,0,0,0.309214594928881,1.30821559392988,8.78684807256236,0.972529774373092,6.82765774931674,NA,NA,NA,NA,NA,0,0.338371306113242,0,0,0,0.399893361770195,0.374433554157056,0.366568914956012,0,0,5.53956586633587,3.52335836206804,15.2579115712756,9.09024411328559,5.87424608161935,12.8165369053513,131.08934076676,80.4406806710954,221.655328798186,673.56580951051,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5073223104224,85.0478246791611,57.3443453627785,12.095942971519,33.7509392808932,4.59559990351779,39.3231960052237,16.1173951496532,4.33981021538625,16.4889513967855,7.91172240690464,45.7246286739374,41.2269502131253,7.75613275613276,17.2619878841077,23.8956686380231,138.361638361638,112.056210558515,239.835817024757,687.865322081912,4.07329020651182,1.56985871271586,11.4700327833968,6.03550315531882,5.38548752834467,0,0,0.122189638318671,0.122189638318671,0,0,42.1122656145698,14.3094872357545,62.8877650767052,72.6862103590214,11,13,12,12,12,"16-oct-14",NA,NA,"palazzo","","f","c","r","06-jan-11","06-sep-11",NA,"taj","16-dec-10","1","2",NA,"","","",NA,"09-nov-11","serena.s","tr","l b notch, r c nick"
"9","rnch",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46627565982405,1.59957344708078,1.98994553833263,0.855327468230694,0.133297787256732,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.122189638318671,0,0,0,1.04733975701718,2.19941348973607,0,0,0,0,0,0,0,0.133297787256732,32.2445274716506,141.649377248456,574.616836870712,6.48020694103644,12.501881584412,45.9219297270647,234.149427121777,612.740004026137,0,0,0,0,0,0,0,0.942605781315459,0,2.78293135435993,0,0,0,0,0,6.23582766439909,0.927643784786642,2.91545189504373,5.5326138275447,3.09214594928881,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.533191149026926,0.314201927105153,0,0,12.9313211110446,4.43600527387708,12.5253285226952,10.7909243853944,3.8438729264033,42.2826021904363,76.2907669066027,86.5416128747268,252.931720097619,658.717765965357,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5665675850008,62.8612415374041,37.7042312526183,13.2496791482967,42.885615989931,9.59812077323598,33.0433426369748,10.8324854868634,3.69478192058837,25.5795733382663,19.9684468117648,29.8178989004293,26.871745765755,9.55489722770829,17.3060426516648,68.1452444125255,85.1627774543568,112.534875701433,274.513568868408,669.188443172524,11.4650454512206,2.30324067776938,9.06910732453853,7.49180415079033,3.71057513914657,0,0,0.104733975701718,0.122189638318671,0,6.48020694103644,12.3685837971552,13.6774022554141,92.5000498733218,38.1231671554252,12,11,14,12,11,"24-jul-18",NA,NA,"ranch","","f","c","r","30-nov-10","18-sep-11","25-jun-12","clov","16-nov-10","2","2",NA,"","","",NA,"03-oct-11","serena.s","tr",""
"10","srir",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2748507679383,0,1.19968008531058,0.811272700673622,0,0,0,0,0.122189638318671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.70068027210884,0,0,0.451161741484322,0,4.53514739229025,0,0,0,1.77004952874245,0,0,0,517.200925035026,0,673.410370991016,118.776640666042,0,584.295888443354,2.91622914161666,696.459326643659,137.069343866579,1.51171579743008,0,1.5460729746444,0.244379276637341,0,0,2.35478806907378,3.24176591457697,0.244379276637341,2.83446712018141,0,0,0,0,0,3.40136054421769,6.3024533070616,8.0395794681509,5.10204081632653,1.98412698412698,NA,NA,NA,NA,NA,0,0,0.133297787256732,0,0.488758553274682,0.814597588791137,0,0.266595574513463,0.283446712018141,0.283446712018141,25.1128799515896,5.42238099841787,15.2267785279934,10.8590845918035,7.01302026186819,68.6267990415456,621.753054932778,122.162434688618,750.693239172502,151.794442117023,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2254384973279,31.154713182363,111.206626078851,49.1318717125169,12.7409712663169,45.72940287226,15.2205705201097,84.7520026405657,41.160452450775,7.17427733556766,19.4960356250679,15.9341426622533,26.4546234382849,7.97141926174184,5.56669393074923,118.852558944725,634.952604998688,155.857757659182,772.655787632746,168.654949760941,1.51171579743008,4.97121925693354,9.91118921575562,3.16196859975662,6.1186253582567,0,0,0.399893361770195,0,0.122189638318671,0,67.0949634083275,2.91622914161666,23.0489556526423,18.2927032005373,9,13,11,12,12,"25-jul-18","1026",NA,"sriracha","","m","s","r","26-dec-09","22-oct-10","19-oct-13","clov","12-dec-09","1",NA,NA,"","","",NA,"16-jul-10","serena.s","tr","r & l small b scoops"
