"","ID","Baboons.3-6","Baboons.6-9","Baboons.birth-3","Baboons.gest","Baboons.peri_concpt","Banded.Mongoose.3-6","Banded.Mongoose.6-9","Banded.Mongoose.birth-3","Banded.Mongoose.gest","Banded.Mongoose.peri_concpt","BB.Jackal.3-6","BB.Jackal.6-9","BB.Jackal.birth-3","BB.Jackal.gest","BB.Jackal.peri_concpt","BE.Fox.3-6","BE.Fox.6-9","BE.Fox.birth-3","BE.Fox.gest","BE.Fox.peri_concpt","Buffalo.3-6","Buffalo.6-9","Buffalo.birth-3","Buffalo.gest","Buffalo.peri_concpt","Bushbuck.3-6","Bushbuck.6-9","Bushbuck.birth-3","Bushbuck.gest","Bushbuck.peri_concpt","Cattle.3-6","Cattle.6-9","Cattle.birth-3","Cattle.gest","Cattle.peri_concpt","Cheetah.3-6","Cheetah.6-9","Cheetah.birth-3","Cheetah.gest","Cheetah.peri_concpt","Eland.3-6","Eland.6-9","Eland.birth-3","Eland.gest","Eland.peri_concpt","Elephant.3-6","Elephant.6-9","Elephant.birth-3","Elephant.gest","Elephant.peri_concpt","Giraffe.3-6","Giraffe.6-9","Giraffe.birth-3","Giraffe.gest","Giraffe.peri_concpt","Gnu.3-6","Gnu.6-9","Gnu.birth-3","Gnu.gest","Gnu.peri_concpt","Grants.3-6","Grants.6-9","Grants.birth-3","Grants.gest","Grants.peri_concpt","Hartebeast.3-6","Hartebeast.6-9","Hartebeast.birth-3","Hartebeast.gest","Hartebeast.peri_concpt","Hippo.3-6","Hippo.6-9","Hippo.birth-3","Hippo.gest","Hippo.peri_concpt","Impala.3-6","Impala.6-9","Impala.birth-3","Impala.gest","Impala.peri_concpt","Lion.3-6","Lion.6-9","Lion.birth-3","Lion.gest","Lion.peri_concpt","Oribi.3-6","Oribi.6-9","Oribi.birth-3","Oribi.gest","Oribi.peri_concpt","Ostrich.3-6","Ostrich.6-9","Ostrich.birth-3","Ostrich.gest","Ostrich.peri_concpt","Other.3-6","Other.6-9","Other.birth-3","Other.gest","Other.peri_concpt","Reedbuck.3-6","Reedbuck.6-9","Reedbuck.birth-3","Reedbuck.gest","Reedbuck.peri_concpt","Shoats.3-6","Shoats.6-9","Shoats.birth-3","Shoats.gest","Shoats.peri_concpt","Slender.Mongoose.3-6","Slender.Mongoose.6-9","Slender.Mongoose.birth-3","Slender.Mongoose.gest","Slender.Mongoose.peri_concpt","Spotted.Hyena.3-6","Spotted.Hyena.6-9","Spotted.Hyena.birth-3","Spotted.Hyena.gest","Spotted.Hyena.peri_concpt","SS.Jackal.3-6","SS.Jackal.6-9","SS.Jackal.birth-3","SS.Jackal.gest","SS.Jackal.peri_concpt","Thomsons.3-6","Thomsons.6-9","Thomsons.birth-3","Thomsons.gest","Thomsons.peri_concpt","Topi.3-6","Topi.6-9","Topi.birth-3","Topi.gest","Topi.peri_concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri_concpt","Warthog.3-6","Warthog.6-9","Warthog.birth-3","Warthog.gest","Warthog.peri_concpt","Waterbuck.3-6","Waterbuck.6-9","Waterbuck.birth-3","Waterbuck.gest","Waterbuck.peri_concpt","Zebra.3-6","Zebra.6-9","Zebra.birth-3","Zebra.gest","Zebra.peri_concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri_concpt","lastUpdated","sampleID","eartag","Name","PrevID","Sex","AgeClass","Status","FirstSeen","DenGrad","Disappeared","Mom","Birthdate","NumberLittermates","Litrank","ArrivedDen","LeaveDen","Fate","MortalitySource","DeathDate","Weaned","Clan","park","miscNotes"
"1","aca",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982142857142857,0.367647058823529,0.882352941176471,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.178571428571429,0.220588235294118,0.294117647058824,0.588235294117647,0.592105263157895,0,0.661764705882353,0.441176470588235,1.25,0,0.0892857142857143,0.588235294117647,1.32352941176471,363.676470588235,0.131578947368421,2.58928571428571,3.23529411764706,3.75,0.882352941176471,5.26315789473684,3.83928571428571,2.72058823529412,0,0.294117647058824,1.18421052631579,NA,NA,NA,NA,NA,24.5535714285714,14.8529411764706,3.38235294117647,11.7647058823529,13.6184210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0735294117647059,1.25,5.625,5.88235294117647,10.8088235294118,6.47058823529412,8.68421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.410714285714,132.058823529412,38.8970588235294,29.7794117647059,156.776315789474,43.3035714285714,27.0588235294118,19.7794117647059,9.33823529411765,23.5526315789474,251.785714285714,213.308823529412,96.1764705882353,508.382352941176,219.078947368421,1.60714285714286,1.39705882352941,5.44117647058824,3.67647058823529,1.57894736842105,0.267857142857143,0,0,0,0,1.33928571428571,24.2647058823529,11.1764705882353,80.5882352941177,6.44736842105263,14,17,17,17,19,"01-Feb-16",NA,"","acadia","","f","c","resident",2008-04-13,"20-Jul-08",2009-06-04,"sbl",2007-10-24,NA,NA,"","","k","","","9/26/08","talek","",""
"2","acia",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3392857142857,0.0833333333333333,0.277777777777778,0.192307692307692,0,0,0,0,0,0,12.4107142857143,34.5,0,0,0,NA,NA,NA,NA,NA,0,0,0,0.384615384615385,0,0,2.16666666666667,0,0,0,0.0892857142857143,0.25,0,0,0,0.0892857142857143,36.8055555555556,0.347222222222222,47.5961538461538,135.803571428571,1.33928571428571,2.16666666666667,2.70833333333333,3.65384615384615,1.33928571428571,2.05357142857143,1.11111111111111,1.31944444444444,0,0,0,0,0,0,0,6.07142857142857,17.2916666666667,10.3472222222222,3.07692307692308,5.17857142857143,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0833333333333333,1.52777777777778,0.192307692307692,1.51785714285714,0,3.08333333333333,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.464285714286,89.1666666666667,186.875,82.8846153846154,97.8571428571429,31.8269230769231,49.2361111111111,44.7916666666667,13.6538461538462,13.5714285714286,171.517857142857,241.319444444444,250.347222222222,170.096153846154,258.75,1.60714285714286,0.347222222222222,0.294117647058824,1.15384615384615,0.446428571428571,0,0,0,0,0,2.5,12.0833333333333,1.875,17.3076923076923,3.03571428571429,14,18,18,13,14,"17-Dec-15",NA,"","acacia","","u","c","resident",2012-01-14,"",2012-01-27,"obam",2011-11-19,NA,NA,"","","k","","","","talek","",""
"3","acon",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1875,0.333333333333333,2.08333333333333,0.166666666666667,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.75,0.15625,0,0,0,0,0,0.0625,0.25,0.208333333333333,0,0.703125,6,243.666666666667,0.0694444444444444,25.0833333333333,54.765625,6.875,3.25,4.79166666666667,2.41666666666667,1.71875,3.5625,1.41666666666667,4.09722222222222,0.583333333333333,1.015625,NA,0,NA,NA,NA,26.25,4.41666666666667,7.98611111111111,5.5,6.09375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.875,0.75,0.138888888888889,0.25,0.390625,12.9375,6.83333333333333,7.29166666666667,5.16666666666667,4.84375,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.5,81.8333333333333,139.097222222222,77.6666666666667,92.96875,40.5,27.5,21.1111111111111,7.75,8.59375,435.8125,392.166666666667,192.638888888889,142.583333333333,200.546875,2.9375,2.25,0,1.58333333333333,1.875,0,0,0.0694444444444444,0,0,12.125,19.6666666666667,5.69444444444444,15.6666666666667,27.421875,20,15,18,15,16,"01-Feb-16",NA,"","aconcagua","","m","c","resident",2010-01-30,"03-Aug-10",2013-08-30,"hel",2009-12-18,1,1,"","","d","","","8/20/10","talek","tk","seen with TE on 1/7/2014, dispersed to TE, seen multiple times fighting for them in clan wars"
"4","add",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,146.875,104.375,0.208333333333333,NA,NA,NA,NA,NA,0.104166666666667,0.3125,0,0.520833333333333,0,NA,NA,NA,NA,NA,0,0.104166666666667,0,1.25,3.54166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,3.85416666666667,4.27083333333333,0.729166666666667,1.14583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0833333333333,17.1875,6.77083333333333,30.7291666666667,24.1666666666667,6.45833333333333,2.91666666666667,9.375,3.125,3.4375,42.3958333333333,24.6875,196.458333333333,164.166666666667,35.1041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.3125,29.1666666666667,23.4375,2.60416666666667,12,12,12,12,12,"07-Mar-16",NA,"","adder","","u","c","resident",2003-10-07,"",2003-11-14,"jut",2003-09-09,NA,NA,"","","u","","","","talek","","talek east"
"5","adon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.604166666667,48.4375,3.54166666666667,0,5.625,NA,NA,NA,NA,NA,0,0,2.60416666666667,4.16666666666667,0,NA,NA,NA,NA,NA,16.5625,7.96875,25.2083333333333,5.72916666666667,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,3.59375,12.9166666666667,7.29166666666667,6.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.8125,119.84375,310,188.020833333333,95,4.27083333333333,21.71875,19.4791666666667,14.375,17.75,312.708333333333,216.25,413.541666666667,220.208333333333,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54166666666667,14.6875,39.7916666666667,0.625,12,12,8,12,12,10,"27-Apr-15",355,"352","adonis","","f","c","resident",2001-05-22,"08-Oct-01",NA,"mrph",2001-03-20,1,2,"","","a","","","12/6/01","talek","tk","talek west. master list: sex=u dengrad calced by pat"
"6","agp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104166666666667,150.833333333333,51.7708333333333,174.270833333333,2.39583333333333,NA,NA,NA,NA,NA,0,1.97916666666667,0.3125,2.08333333333333,1.66666666666667,NA,NA,NA,NA,NA,2.08333333333333,15.1041666666667,1.66666666666667,1.45833333333333,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,9.89583333333333,4.0625,1.5625,2.08333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.916666666667,193.75,52.5,68.5416666666667,82.5,21.5625,51.4583333333333,19.5833333333333,34.6875,36.3541666666667,146.145833333333,459.895833333333,188.854166666667,340.104166666667,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1041666666667,36.875,58.9583333333333,57.5,30,12,12,12,12,12,"",99,"","aged ""p""","","m","c","resident",1991-12-27,"18-Jul-92",1995-07-30,"ot",1991-11-06,0,1,"12/13/91","","d","","","4/9/93","talek","tk","dengrad calced by pat"
"7","ahi",NA,NA,NA,0,0,NA,NA,NA,0,2.75,NA,NA,NA,0.104166666666667,0.25,NA,NA,NA,0,0,NA,NA,NA,0.9375,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0.208333333333333,0.25,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0.234375,NA,NA,NA,35.4166666666667,195.078125,NA,NA,NA,4.27083333333333,1.953125,NA,NA,NA,0,1.40625,NA,NA,NA,0,0,NA,NA,NA,4.89583333333333,11.328125,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0.104166666666667,0.15625,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0.125,NA,NA,NA,0,0,NA,NA,NA,146.145833333333,76.015625,NA,NA,NA,22.5,20.234375,NA,NA,NA,232.916666666667,334.375,NA,NA,NA,1.35416666666667,2.421875,NA,NA,NA,0,0.078125,NA,NA,NA,16.9791666666667,23.359375,NA,NA,NA,12,16,"12-Dec-16",NA,"","ahi","","m","c","resident",2013-02-16,"26-Aug-13",2015-07-31,"hrpy",2013-01-25,1,NA,"","","a","","","10/23/13","talek","tk",""
"8","alde",0,0,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.08333333333333,0.486111111111111,0.588235294117647,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.714285714285714,0,0,0,0,0,0.333333333333333,0,0,0,0,0.166666666666667,0,0.220588235294118,0,46.6964285714286,4.5,352.916666666667,63.6764705882353,2.5,1.33928571428571,4.41666666666667,3.54166666666667,5.80882352941176,0.833333333333333,0,0,0.138888888888889,4.41176470588235,0,0,0,0,NA,4.02777777777778,1.69642857142857,9.5,7.08333333333333,20.2205882352941,NA,NA,NA,NA,NA,0,0,0,0,NA,0.138888888888889,1.51785714285714,0.5,0.902777777777778,0.514705882352941,0,0,5.91666666666667,6.80555555555556,10.2941176470588,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.361111111111,107.5,90.0833333333333,80.3472222222222,261.029411764706,18.3333333333333,14.8214285714286,33,9.65277777777778,42.8676470588235,145.555555555556,178.392857142857,168,474.305555555556,435.073529411765,0.833333333333333,0.446428571428571,2,1.875,3.16176470588235,0,0,0,0,0,6.52777777777778,3.66071428571429,16.1666666666667,10.5555555555556,22.2794117647059,9,14,15,18,17,"19-Jul-16",630,"","alderaan","","m","c","resident",2010-12-13,"08-Jun-11",2013-03-21,"loki",2010-11-01,1,1,"","","d","","","8/10/11","talek","",""
"9","alfe",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.07142857142857,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15625,0,0,0,0,0,0,0.694444444444444,0.546875,0,0.703125,0.357142857142857,0,0,21.6666666666667,50.703125,0,11.5277777777778,217.578125,5,1.171875,0.535714285714286,4.16666666666667,3.75,0,1.015625,0,0.138888888888889,0,NA,NA,NA,NA,NA,9.58333333333333,5.234375,3.92857142857143,0,3.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,0.546875,0,0.555555555555556,0.234375,7.5,4.21875,3.21428571428571,5.13888888888889,5.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.416666666667,68.515625,51.9642857142857,66.9444444444444,50.46875,25.8333333333333,4.921875,4.82142857142857,8.47222222222222,5.703125,235,167.34375,69.2857142857143,103.194444444444,326.09375,2.08333333333333,1.640625,1.25,0,1.171875,0,0,0,0,0,2.5,28.515625,2.14285714285714,5.55555555555556,37.65625,3,16,7,9,16,"01-Feb-16",NA,"","alfredo","","f","c","resident",2009-01-25,"02-Aug-09",NA,"guci",2009-01-05,1,1,"","","a","","","1/15/10","talek","",""
"10","ali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,3,83.4375,105,19.375,NA,NA,NA,NA,NA,1.04166666666667,4.5,0.208333333333333,4.16666666666667,0.3125,NA,NA,NA,NA,NA,3.02083333333333,3.125,3.75,3.75,4.27083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9375,10.25,3.75,1.45833333333333,5.20833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.0625,157.625,41.25,214.791666666667,139.895833333333,23.5416666666667,33.625,17.0833333333333,42.1875,30.1041666666667,188.229166666667,212.125,160.9375,385.416666666667,211.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,0,11.4583333333333,14.0625,12.0833333333333,12,10,12,12,12,"02-Mar-17",253,"","alice","","f","c","resident",1997-09-07,"15-Jun-98",NA,"bb",1997-08-04,1,1,"","","a","","","6/21/98","talek","tk","talek west. dengrad calced by pat"
