"","id","baboons.3-6","baboons.6-9","baboons.birth-3","baboons.gest","baboons.peri.concpt","banded.mongoose.3-6","banded.mongoose.6-9","banded.mongoose.birth-3","banded.mongoose.gest","banded.mongoose.peri.concpt","bb.jackal.3-6","bb.jackal.6-9","bb.jackal.birth-3","bb.jackal.gest","bb.jackal.peri.concpt","be.fox.3-6","be.fox.6-9","be.fox.birth-3","be.fox.gest","be.fox.peri.concpt","buffalo.3-6","buffalo.6-9","buffalo.birth-3","buffalo.gest","buffalo.peri.concpt","bushbuck.3-6","bushbuck.6-9","bushbuck.birth-3","bushbuck.gest","bushbuck.peri.concpt","cattle.3-6","cattle.6-9","cattle.birth-3","cattle.gest","cattle.peri.concpt","cheetah.3-6","cheetah.6-9","cheetah.birth-3","cheetah.gest","cheetah.peri.concpt","eland.3-6","eland.6-9","eland.birth-3","eland.gest","eland.peri.concpt","elephant.3-6","elephant.6-9","elephant.birth-3","elephant.gest","elephant.peri.concpt","giraffe.3-6","giraffe.6-9","giraffe.birth-3","giraffe.gest","giraffe.peri.concpt","gnu.3-6","gnu.6-9","gnu.birth-3","gnu.gest","gnu.peri.concpt","gnu.zebra.3-6","gnu.zebra.6-9","gnu.zebra.birth-3","gnu.zebra.gest","gnu.zebra.peri.concpt","grants.3-6","grants.6-9","grants.birth-3","grants.gest","grants.peri.concpt","hartebeast.3-6","hartebeast.6-9","hartebeast.birth-3","hartebeast.gest","hartebeast.peri.concpt","hippo.3-6","hippo.6-9","hippo.birth-3","hippo.gest","hippo.peri.concpt","impala.3-6","impala.6-9","impala.birth-3","impala.gest","impala.peri.concpt","lion.3-6","lion.6-9","lion.birth-3","lion.gest","lion.peri.concpt","oribi.3-6","oribi.6-9","oribi.birth-3","oribi.gest","oribi.peri.concpt","ostrich.3-6","ostrich.6-9","ostrich.birth-3","ostrich.gest","ostrich.peri.concpt","other.3-6","other.6-9","other.birth-3","other.gest","other.peri.concpt","prim.prey.3-6","prim.prey.6-9","prim.prey.birth-3","prim.prey.gest","prim.prey.peri.concpt","reedbuck.3-6","reedbuck.6-9","reedbuck.birth-3","reedbuck.gest","reedbuck.peri.concpt","shoats.3-6","shoats.6-9","shoats.birth-3","shoats.gest","shoats.peri.concpt","slender.mongoose.3-6","slender.mongoose.6-9","slender.mongoose.birth-3","slender.mongoose.gest","slender.mongoose.peri.concpt","spotted.hyena.3-6","spotted.hyena.6-9","spotted.hyena.birth-3","spotted.hyena.gest","spotted.hyena.peri.concpt","ss.jackal.3-6","ss.jackal.6-9","ss.jackal.birth-3","ss.jackal.gest","ss.jackal.peri.concpt","thom.topi.3-6","thom.topi.6-9","thom.topi.birth-3","thom.topi.gest","thom.topi.peri.concpt","thomsons.3-6","thomsons.6-9","thomsons.birth-3","thomsons.gest","thomsons.peri.concpt","topi.3-6","topi.6-9","topi.birth-3","topi.gest","topi.peri.concpt","total.3-6","total.6-9","total.birth-3","total.gest","total.peri.concpt","warthog.3-6","warthog.6-9","warthog.birth-3","warthog.gest","warthog.peri.concpt","waterbuck.3-6","waterbuck.6-9","waterbuck.birth-3","waterbuck.gest","waterbuck.peri.concpt","zebra.3-6","zebra.6-9","zebra.birth-3","zebra.gest","zebra.peri.concpt","num.transects.3-6","num.transects.6-9","num.transects.birth-3","num.transects.gest","num.transects.peri.concpt","last.updated","sample.id","eartag","name","prev.id","sex","age.class","status","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","arrived.den","leave.den","fate","mortality.source","death.date","weaned","clan","park","misc.notes"
"1","mat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.875,0.138888888888889,50.2083333333333,0,0,34.5833333333333,0.138888888888889,69.6875,0.208333333333333,8.95833333333333,NA,NA,NA,NA,NA,0,0.138888888888889,1.14583333333333,0.833333333333333,0,NA,NA,NA,NA,NA,1.45833333333333,2.36111111111111,7.39583333333333,10.8333333333333,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6875,4.72222222222222,4.89583333333333,7.8125,9.16666666666667,120.416666666667,104.722222222222,163.125,206.145833333333,172.604166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.375,102.222222222222,86.0416666666667,195.104166666667,162.395833333333,73.9583333333333,89.0277777777778,82.9166666666667,178.020833333333,144.583333333333,10.4166666666667,13.1944444444444,3.125,17.0833333333333,17.8125,125.104166666667,109.583333333333,169.166666666667,214.791666666667,181.770833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7083333333333,0,19.4791666666667,0.208333333333333,8.95833333333333,12,9,12,12,12,"20-nov-17",NA,"","matisse","","u","c","r","24-jun-02","05-apr-03","22-jun-03","hg","10-jun-02","1",NA,NA,"","k","",NA,"23-dec-02","talek","tk"," dengrad calced by pat"
"2","puma",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73611111111111,0.588235294117647,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.75,0,0.227272727272727,0,0,0,0,0,0.277777777777778,0.220588235294118,0,0,1.02272727272727,0.0694444444444444,63.6764705882353,24.6666666666667,16.9642857142857,58.6363636363636,4.65277777777778,85.9558823529412,36.9166666666667,35.2678571428571,81.7045454545455,5.06944444444444,5.80882352941176,4.83333333333333,0.535714285714286,2.38636363636364,4.02777777777778,4.41176470588235,1.25,0.625,1.47727272727273,NA,NA,NA,NA,NA,11.3194444444444,20.2205882352941,8.83333333333333,6.16071428571429,8.40909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.875,0.514705882352941,0,0.446428571428571,0.340909090909091,10.0694444444444,10.2941176470588,7.16666666666667,2.76785714285714,6.59090909090909,267.013888888889,410.073529411765,191.083333333333,88.3928571428571,218.409090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.041666666667,303.897058823529,145.333333333333,46.9642857142857,128.295454545455,218.402777777778,261.029411764706,130.416666666667,41.0714285714286,117.272727272727,32.6388888888889,42.8676470588235,14.9166666666667,5.89285714285714,11.0227272727273,291.180555555556,435.073529411765,206.666666666667,94.5535714285714,233.068181818182,1.11111111111111,3.16176470588235,0,1.78571428571429,2.61363636363636,0,0,0.0833333333333333,0,0,4.58333333333333,22.2794117647059,12.25,18.3035714285714,23.0681818181818,18,17,15,14,11,"27-jul-16",NA,"","puma","jay","m","c","r","28-jan-10","29-jul-10","06-aug-12","hex","10-nov-09","1",NA,NA,"","d","",NA,"05-nov-10","talek","tk","dispersed to southern comfort"
"3","yaz",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,0,0.208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192307692307692,0,0,0,NA,0,0,0.480769230769231,0.694444444444444,NA,0.865384615384615,0.25,0,0.625,NA,64.7115384615385,0,165.961538461538,153.680555555556,NA,95.2884615384615,1.5,172.5,205.763888888889,NA,2.11538461538462,1.25,4.03846153846154,2.70833333333333,NA,1.25,0.125,0,0.0694444444444444,NA,NA,NA,NA,NA,NA,7.11538461538461,2.75,2.11538461538462,3.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288461538461538,0,0.673076923076923,0.0694444444444444,NA,5.67307692307692,2.875,5.96153846153846,5.20833333333333,NA,214.134615384615,61.375,249.134615384615,302.291666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.730769230769,57.125,74.5192307692308,93.4027777777778,NA,102.403846153846,51.125,68.75,80.9027777777778,NA,9.32692307692308,6,5.76923076923077,12.5,NA,226.730769230769,67.5,261.057692307692,312.777777777778,NA,2.21153846153846,0.875,0.769230769230769,0.902777777777778,NA,0,0,0,0,NA,30.5769230769231,1.5,6.53846153846154,52.0833333333333,NA,13,10,13,18,"22-aug-16",NA,"","yastrzemski","slingshot?","m","c","r","03-jun-09","24-jun-09","21-nov-11","aqua","01-dec-08","0",NA,NA,"","d","",NA,"20-dec-09","talek","tk","cubname should not be 'squirt'. any mention of 'squirt' should be envy instead"
"4","aca",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982142857142857,0.367647058823529,0.882352941176471,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.178571428571429,0.220588235294118,0.294117647058824,0.588235294117647,0.592105263157895,0,0.661764705882353,0.441176470588235,1.25,0,0.0892857142857143,0.588235294117647,1.32352941176471,363.676470588235,0.131578947368421,1.42857142857143,24.8529411764706,12.5,444.264705882353,6.57894736842105,2.58928571428571,3.23529411764706,3.75,0.882352941176471,5.26315789473684,3.83928571428571,2.72058823529412,0,0.294117647058824,1.18421052631579,NA,NA,NA,NA,NA,24.5535714285714,14.8529411764706,3.38235294117647,11.7647058823529,13.6184210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0735294117647059,1.25,5.625,5.88235294117647,10.8088235294118,6.47058823529412,8.68421052631579,236.696428571429,198.823529411765,74.5588235294118,495.147058823529,200.526315789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.714285714286,159.117647058824,58.6764705882353,39.1176470588235,180.328947368421,167.410714285714,132.058823529412,38.8970588235294,29.7794117647059,156.776315789474,43.3035714285714,27.0588235294118,19.7794117647059,9.33823529411765,23.5526315789474,251.785714285714,213.308823529412,96.1764705882353,508.382352941176,219.078947368421,1.60714285714286,1.39705882352941,5.44117647058824,3.67647058823529,1.57894736842105,0.267857142857143,0,0,0,0,1.33928571428571,24.2647058823529,11.1764705882353,80.5882352941177,6.44736842105263,14,17,17,17,19,"01-feb-16",NA,"","acadia","","f","c","r","13-apr-08","20-jul-08","04-jun-09","sbl","24-oct-07",NA,NA,NA,"","k","",NA,"26-sep-08","talek","",""
"5","acia",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3392857142857,0.0833333333333333,0.277777777777778,0.192307692307692,0,0,0,0,0,0,12.4107142857143,34.5,0,0,0,NA,NA,NA,NA,NA,0,0,0,0.384615384615385,0,0,2.16666666666667,0,0,0,0.0892857142857143,0.25,0,0,0,0.0892857142857143,36.8055555555556,0.347222222222222,47.5961538461538,135.803571428571,2.58928571428571,48.8888888888889,2.22222222222222,64.9038461538462,138.839285714286,1.33928571428571,2.16666666666667,2.70833333333333,3.65384615384615,1.33928571428571,2.05357142857143,1.11111111111111,1.31944444444444,0,0,0,0,0,0,0,6.07142857142857,17.2916666666667,10.3472222222222,3.07692307692308,5.17857142857143,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0833333333333333,1.52777777777778,0.192307692307692,1.51785714285714,0,3.08333333333333,0,0,0,142.678571428571,204.583333333333,244.236111111111,164.519230769231,255.446428571429,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.017857142857,138.402777777778,231.666666666667,96.5384615384615,111.428571428571,104.464285714286,89.1666666666667,186.875,82.8846153846154,97.8571428571429,31.8269230769231,49.2361111111111,44.7916666666667,13.6538461538462,13.5714285714286,171.517857142857,241.319444444444,250.347222222222,170.096153846154,258.75,1.60714285714286,0.347222222222222,0.294117647058824,1.15384615384615,0.446428571428571,0,0,0,0,0,2.5,12.0833333333333,1.875,17.3076923076923,3.03571428571429,14,18,18,13,14,"17-dec-15",NA,"","acacia","","u","c","r","14-jan-12",NA,"27-jan-12","obam","19-nov-11",NA,NA,NA,"","k","",NA,NA,"talek","",""
"6","acon",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1875,0.333333333333333,2.08333333333333,0.166666666666667,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.75,0.15625,0,0,0,0,0,0.0625,0.25,0.208333333333333,0,0.703125,6,243.666666666667,0.0694444444444444,25.0833333333333,54.765625,18.125,263.333333333333,5.76388888888889,40.75,82.1875,6.875,3.25,4.79166666666667,2.41666666666667,1.71875,3.5625,1.41666666666667,4.09722222222222,0.583333333333333,1.015625,NA,0,NA,NA,NA,26.25,4.41666666666667,7.98611111111111,5.5,6.09375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1.875,0.75,0.138888888888889,0.25,0.390625,12.9375,6.83333333333333,7.29166666666667,5.16666666666667,4.84375,406.375,377.083333333333,173.958333333333,131.666666666667,189.84375,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,109.333333333333,160.208333333333,85.4166666666667,101.5625,321.5,81.8333333333333,139.097222222222,77.6666666666667,92.96875,40.5,27.5,21.1111111111111,7.75,8.59375,435.8125,392.166666666667,192.638888888889,142.583333333333,200.546875,2.9375,2.25,0,1.58333333333333,1.875,0,0,0.0694444444444444,0,0,12.125,19.6666666666667,5.69444444444444,15.6666666666667,27.421875,20,15,18,15,16,"01-feb-16",NA,"","aconcagua","","m","c","r","30-jan-10","03-aug-10","30-aug-13","hel","18-dec-09","1","1",NA,"","d","",NA,"20-aug-10","talek","tk","seen with te on 1/7/2014, dispersed to te, seen multiple times fighting for them in clan wars"
"7","add",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,146.875,104.375,0.208333333333333,0.833333333333333,0.3125,176.041666666667,127.8125,2.8125,NA,NA,NA,NA,NA,0.104166666666667,0.3125,0,0.520833333333333,0,NA,NA,NA,NA,NA,0,0.104166666666667,0,1.25,3.54166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,3.85416666666667,4.27083333333333,0.729166666666667,1.14583333333333,39.375,20.5208333333333,192.1875,162.916666666667,33.9583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5416666666667,20.1041666666667,16.1458333333333,33.8541666666667,27.6041666666667,32.0833333333333,17.1875,6.77083333333333,30.7291666666667,24.1666666666667,6.45833333333333,2.91666666666667,9.375,3.125,3.4375,42.3958333333333,24.6875,196.458333333333,164.166666666667,35.1041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.3125,29.1666666666667,23.4375,2.60416666666667,12,12,12,12,12,"07-mar-16",NA,"","adder","","u","c","r","07-oct-03",NA,"14-nov-03","jut","09-sep-03",NA,NA,NA,"","u","",NA,NA,"talek","","talek east"
"8","adon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.604166666667,48.4375,3.54166666666667,0,5.625,201.145833333333,63.125,43.3333333333333,0.625,17.625,NA,NA,NA,NA,NA,0,0,2.60416666666667,4.16666666666667,0,NA,NA,NA,NA,NA,16.5625,7.96875,25.2083333333333,5.72916666666667,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91666666666667,3.59375,12.9166666666667,7.29166666666667,6.875,309.791666666667,212.65625,398.020833333333,208.75,140.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.0833333333333,141.5625,329.479166666667,202.395833333333,112.75,87.8125,119.84375,310,188.020833333333,95,4.27083333333333,21.71875,19.4791666666667,14.375,17.75,312.708333333333,216.25,413.541666666667,220.208333333333,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54166666666667,14.6875,39.7916666666667,0.625,12,12,8,12,12,10,"27-apr-15","355","352","adonis","","f","c","r","22-may-01","08-oct-01",NA,"mrph","20-mar-01","1","2",NA,"","a","",NA,"06-dec-01","talek","tk","talek west. master list: sex=u dengrad calced by pat"
"9","agp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104166666666667,150.833333333333,51.7708333333333,174.270833333333,2.39583333333333,15.2083333333333,187.708333333333,110.729166666667,231.770833333333,32.3958333333333,NA,NA,NA,NA,NA,0,1.97916666666667,0.3125,2.08333333333333,1.66666666666667,NA,NA,NA,NA,NA,2.08333333333333,15.1041666666667,1.66666666666667,1.45833333333333,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,9.89583333333333,4.0625,1.5625,2.08333333333333,141.770833333333,448.020833333333,184.479166666667,336.458333333333,153.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.479166666667,245.208333333333,72.0833333333333,103.229166666667,118.854166666667,102.916666666667,193.75,52.5,68.5416666666667,82.5,21.5625,51.4583333333333,19.5833333333333,34.6875,36.3541666666667,146.145833333333,459.895833333333,188.854166666667,340.104166666667,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1041666666667,36.875,58.9583333333333,57.5,30,12,12,12,12,12,NA,"99","","aged ""p""","","m","c","r","27-dec-91","18-jul-92","30-jul-95","ot","06-nov-91","0","1",NA,"","d","",NA,"09-apr-93","talek","tk"," dengrad calced by pat"
"10","ahi",NA,NA,NA,0,0,NA,NA,NA,0,2.75,NA,NA,NA,0.104166666666667,0.25,NA,NA,NA,0,0,NA,NA,NA,0.9375,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0.208333333333333,0.25,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0.234375,NA,NA,NA,35.4166666666667,195.078125,NA,NA,NA,52.3958333333333,218.4375,NA,NA,NA,4.27083333333333,1.953125,NA,NA,NA,0,1.40625,NA,NA,NA,0,0,NA,NA,NA,4.89583333333333,11.328125,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0.104166666666667,0.15625,NA,NA,NA,0,0,NA,NA,NA,225.9375,326.015625,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0.125,NA,NA,NA,0,0,NA,NA,NA,168.645833333333,96.25,NA,NA,NA,146.145833333333,76.015625,NA,NA,NA,22.5,20.234375,NA,NA,NA,232.916666666667,334.375,NA,NA,NA,1.35416666666667,2.421875,NA,NA,NA,0,0.078125,NA,NA,NA,16.9791666666667,23.359375,NA,NA,NA,12,16,"12-dec-16",NA,"","ahi","","m","c","r","16-feb-13","26-aug-13","31-jul-15","hrpy","25-jan-13","1",NA,NA,"","a","",NA,"23-oct-13","talek","tk",""
